File	Sub-brick	Mean_1  	Mean_2  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	Mean_2  	Mean_3  	Mean_4  	Mean_5  	Mean_6  
/Volumes/Phillips/P5/subj/11327_20140911/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	18.081858	3.295961	/Volumes/Phillips/P5/subj/11327_20140911/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	26.587869	/Volumes/Phillips/P5/subj/11327_20140911/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	-4.026176	0.243846	3.907955	-25.850152	22.562162	-22.742037
File	Sub-brick	Mean_1  	Mean_2  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	Mean_2  	Mean_3  	Mean_4  	Mean_5  	Mean_6  
/Volumes/Phillips/P5/subj/11333_20141017/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	-9.544702	-0.203293	/Volumes/Phillips/P5/subj/11333_20141017/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	-12.632719	/Volumes/Phillips/P5/subj/11333_20141017/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	-2.131062	-1.564516	-8.758542	-14.094042	-3.403475	-0.279240
File	Sub-brick	Mean_1  	Mean_2  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	Mean_2  	Mean_3  	Mean_4  	Mean_5  	Mean_6  
/Volumes/Phillips/P5/subj/11340_20141031/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	11.600692	-3.646386	/Volumes/Phillips/P5/subj/11340_20141031/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	-11.720161	/Volumes/Phillips/P5/subj/11340_20141031/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	-10.006975	4.443886	-9.085751	2.999933	-12.667341	3.656475
File	Sub-brick	Mean_1  	Mean_2  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	Mean_2  	Mean_3  	Mean_4  	Mean_5  	Mean_6  
/Volumes/Phillips/P5/subj/11348_20141119/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	15.148024	-0.383549	/Volumes/Phillips/P5/subj/11348_20141119/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	-21.432891	/Volumes/Phillips/P5/subj/11348_20141119/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	10.947780	2.213618	1.686111	16.706824	5.106930	26.105230
File	Sub-brick	Mean_1  	Mean_2  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	Mean_2  	Mean_3  	Mean_4  	Mean_5  	Mean_6  
/Volumes/Phillips/P5/subj/11351_20141202/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	19.112691	-1.090069	/Volumes/Phillips/P5/subj/11351_20141202/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	-18.062838	/Volumes/Phillips/P5/subj/11351_20141202/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	-5.183682	2.092432	-8.991918	-12.665966	-13.522245	-16.344120
File	Sub-brick	Mean_1  	Mean_2  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	Mean_2  	Mean_3  	Mean_4  	Mean_5  	Mean_6  
/Volumes/Phillips/P5/subj/11354_20141205/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	-4.173831	-5.492960	/Volumes/Phillips/P5/subj/11354_20141205/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	-41.178672	/Volumes/Phillips/P5/subj/11354_20141205/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	0.499451	-4.104163	-11.722575	-10.454061	-1.387919	-12.571804
File	Sub-brick	Mean_1  	Mean_2  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	Mean_2  	Mean_3  	Mean_4  	Mean_5  	Mean_6  
/Volumes/Phillips/P5/subj/11355_20141230/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	14.923623	-1.813116	/Volumes/Phillips/P5/subj/11355_20141230/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	-5.234627	/Volumes/Phillips/P5/subj/11355_20141230/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	-0.331256	-3.546338	0.901124	-12.004400	-17.006502	6.450715
File	Sub-brick	Mean_1  	Mean_2  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	Mean_2  	Mean_3  	Mean_4  	Mean_5  	Mean_6  
/Volumes/Phillips/P5/subj/11357_20150122/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	12.683878	4.117842	/Volumes/Phillips/P5/subj/11357_20150122/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	33.036995	/Volumes/Phillips/P5/subj/11357_20150122/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	12.649518	1.492857	13.488206	15.390112	19.579122	16.255655
File	Sub-brick	Mean_1  	Mean_2  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	Mean_2  	Mean_3  	Mean_4  	Mean_5  	Mean_6  
/Volumes/Phillips/P5/subj/11358_20150129/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	14.087196	5.621061	/Volumes/Phillips/P5/subj/11358_20150129/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	18.857627	/Volumes/Phillips/P5/subj/11358_20150129/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	6.779609	11.169228	4.230475	8.559821	30.212294	9.826328
