Crt,RT,ld,dr,islongdelay,ischange
NaN,-Inf,3,2,0,0
0,1.43,3,2,0,1
1,0.87165,3,1,0,0
1,0.52611,1,2,0,0
1,0.68341,1,1,1,0
NaN,-Inf,1,1,0,0
1,0.92326,1,1,1,1
1,1.1269,3,2,1,1
0,0.96497,3,2,1,0
1,0.81022,1,1,0,1
1,0.75751,1,1,1,1
NaN,-Inf,3,1,0,0
0,1.6965,3,1,1,0
1,0.84862,1,2,0,1
1,0.91117,3,2,0,1
NaN,-Inf,1,2,0,0
1,0.8692,1,2,0,0
1,1.2411,3,1,1,0
1,1.1948,3,1,1,1
1,1.1322,3,2,0,1
NaN,-Inf,1,1,0,0
1,0.94026,3,2,1,1
NaN,-Inf,3,1,1,0
NaN,-Inf,1,2,0,0
1,0.87629,1,1,1,0
1,0.76748,1,2,1,0
NaN,-Inf,3,1,0,0
NaN,-Inf,1,1,1,0
1,1.0951,1,2,1,1
1,0.93997,1,1,0,1
1,1.46,3,1,0,0
NaN,-Inf,3,1,0,0
1,1.1356,1,2,0,0
1,1.013,3,2,0,0
NaN,-Inf,1,2,0,0
NaN,-Inf,3,1,0,0
1,0.9275,1,1,0,0
1,0.93572,1,2,0,1
1,0.87493,1,1,1,0
0,1.5554,1,1,1,1
NaN,-Inf,1,1,0,0
1,0.9407,3,2,0,0
NaN,-Inf,3,2,0,0
NaN,-Inf,1,2,1,0
1,1.5504,3,2,1,1
NaN,-Inf,3,1,1,0
1,0.99054,3,2,1,0
0,1.0524,3,2,0,1
NaN,-Inf,1,2,0,0
NaN,-Inf,1,1,0,0
NaN,-Inf,3,2,1,0
1,0.98847,3,1,1,0
1,0.8461,3,1,1,0
1,0.91606,1,2,0,1
1,1.1701,1,1,1,1
NaN,-Inf,3,1,0,0
1,0.81153,1,2,0,0
1,1.3438,3,2,1,1
0,0.9219,1,2,1,0
NaN,-Inf,1,2,1,0
1,1.8344,3,1,0,0
NaN,-Inf,1,2,0,0
NaN,-Inf,3,1,0,0
1,1.6932,3,1,0,1
1,0.86103,1,1,1,1
1,0.94524,1,2,0,0
1,1.3934,1,1,0,1
0,1.6191,3,2,0,1
NaN,-Inf,3,2,0,0
1,0.89484,3,2,0,0
1,1.047,1,2,1,0
1,1.057,3,1,1,1
NaN,-Inf,3,2,1,0
NaN,-Inf,1,1,1,0
1,1.2081,3,1,1,1
NaN,-Inf,1,1,0,0
1,0.85661,1,2,0,0
1,1.2956,3,1,1,0
NaN,-Inf,3,1,0,0
1,0.88796,1,1,1,0
1,0.99036,1,2,0,1
NaN,-Inf,1,2,0,0
1,0.88087,3,1,0,1
1,0.83787,3,2,0,0
NaN,-Inf,3,2,0,0
0,1.9801,1,2,1,1
1,0.85581,3,1,1,0
NaN,-Inf,1,2,0,0
NaN,-Inf,3,1,0,0
1,0.96143,3,1,0,0
1,1.3158,1,1,1,1
1,0.92555,1,1,0,1
1,0.76144,1,2,0,0
1,1.035,3,2,1,1
1,1.0934,3,1,0,1
1,0.99746,1,2,1,0
