Crt,RT,ld,dr,islongdelay,ischange
NaN,-Inf,3,1,0,0
1,1.5419,3,2,0,1
1,0.00076992,3,2,0,0
1,1.4225,1,2,0,0
1,0.95614,1,1,1,0
NaN,-Inf,1,2,0,0
1,1.108,1,1,1,1
-1,-Inf,3,2,1,1
0,1.1976,3,2,1,0
1,1.0292,1,2,0,1
1,0.96633,1,1,1,1
NaN,-Inf,3,2,0,0
1,0.47379,3,2,1,0
1,1.2256,1,1,0,1
0,1.2956,3,1,0,1
NaN,-Inf,1,2,0,0
1,1.4135,1,1,0,0
1,1.0241,3,1,1,0
1,1.8193,3,2,1,1
0,1.5098,3,2,0,1
NaN,-Inf,1,2,0,0
1,1.7891,3,2,1,1
NaN,-Inf,3,1,1,0
NaN,-Inf,1,2,0,0
1,0.3926,1,2,1,0
1,0.66513,1,1,1,0
NaN,-Inf,3,1,0,0
NaN,-Inf,1,2,1,0
1,0.87697,1,1,1,1
0,0.8294,1,2,0,1
-1,-Inf,3,2,0,0
NaN,-Inf,3,1,0,0
1,1.2573,1,2,0,0
1,1.0634,3,2,0,0
NaN,-Inf,1,1,0,0
NaN,-Inf,3,2,0,0
1,0.87253,1,1,0,0
1,1.1364,1,1,0,1
1,1.0923,1,2,1,0
1,0.87686,1,1,1,1
NaN,-Inf,1,2,0,0
1,1.1246,3,1,0,0
NaN,-Inf,3,1,0,0
NaN,-Inf,1,1,1,0
1,0.84049,3,1,1,1
NaN,-Inf,3,1,1,0
1,0.83967,3,1,1,0
0,1.134,3,1,0,1
NaN,-Inf,1,1,0,0
NaN,-Inf,1,2,0,0
NaN,-Inf,3,2,1,0
1,0.8518,3,2,1,0
1,0.82986,3,2,1,0
1,0.86841,1,2,0,1
0,0.74636,1,1,1,1
NaN,-Inf,3,1,0,0
1,0.74923,1,2,0,0
0,0.52778,3,1,1,1
1,0.6982,1,2,1,0
NaN,-Inf,1,1,1,0
0,1.9534,3,1,0,0
NaN,-Inf,1,1,0,0
NaN,-Inf,3,2,0,0
0,0.78872,3,1,0,1
1,0.89377,1,2,1,1
0,1.6175,1,1,0,0
1,0.88128,1,1,0,1
1,1.1,3,1,0,1
NaN,-Inf,3,2,0,0
1,0.97386,3,2,0,0
1,0.90346,1,1,1,0
0,0.73591,3,1,1,1
NaN,-Inf,3,2,1,0
NaN,-Inf,1,1,1,0
0,0.44678,3,1,1,1
NaN,-Inf,1,1,0,0
1,1.3288,1,1,0,0
0,1.3768,3,2,1,0
NaN,-Inf,3,2,0,0
1,0.95267,1,2,1,0
1,1.0306,1,1,0,1
NaN,-Inf,1,2,0,0
1,1.7668,3,2,0,1
1,0.80648,3,1,0,0
NaN,-Inf,3,1,0,0
1,1.0445,1,2,1,1
1,1.2409,3,2,1,0
NaN,-Inf,1,2,0,0
NaN,-Inf,3,2,0,0
1,0.85457,3,1,0,0
1,0.99667,1,1,1,1
1,0.99857,1,2,0,1
1,0.85865,1,2,0,0
0,1.5003,3,2,1,1
0,0.63849,3,1,0,1
1,0.67805,1,1,1,0
