Crt,RT,ld,dr,islongdelay,ischange
NaN,-Inf,3,2,0,0
1,0.19876,3,2,0,1
1,1.1282,3,2,0,0
1,1.1904,1,2,0,0
1,1.1957,1,1,1,0
NaN,-Inf,1,2,0,0
1,0.98857,1,1,1,1
0,1.0721,3,2,1,1
1,1.1101,3,1,1,0
-1,-Inf,1,2,0,1
1,1.3254,1,1,1,1
NaN,-Inf,3,1,0,0
1,0.89002,3,1,1,0
1,1.0821,1,2,0,1
0,1.6319,3,2,0,1
NaN,-Inf,1,2,0,0
1,0.90993,1,1,0,0
1,0.79916,3,1,1,0
0,0.92356,3,1,1,1
0,0.90139,3,2,0,1
NaN,-Inf,1,2,0,0
1,1.6136,3,2,1,1
NaN,-Inf,3,1,1,0
NaN,-Inf,1,2,0,0
1,0.90958,1,1,1,0
1,1.0586,1,1,1,0
NaN,-Inf,3,1,0,0
NaN,-Inf,1,1,1,0
1,1.4049,1,1,1,1
1,1.3324,1,1,0,1
1,0.90885,3,2,0,0
NaN,-Inf,3,1,0,0
1,1.0891,1,1,0,0
1,0.89468,3,2,0,0
NaN,-Inf,1,1,0,0
NaN,-Inf,3,1,0,0
1,0.87273,1,2,0,0
1,1.2647,1,1,0,1
1,0.89232,1,2,1,0
0,1.2766,1,2,1,1
NaN,-Inf,1,2,0,0
1,0.96056,3,2,0,0
NaN,-Inf,3,1,0,0
NaN,-Inf,1,1,1,0
1,0.95187,3,1,1,1
NaN,-Inf,3,2,1,0
1,1.6398,3,2,1,0
1,1.1022,3,2,0,1
NaN,-Inf,1,2,0,0
NaN,-Inf,1,2,0,0
NaN,-Inf,3,1,1,0
1,0.9407,3,2,1,0
0,1.5897,3,2,1,0
1,1.2919,1,2,0,1
1,1.0101,1,2,1,1
NaN,-Inf,3,2,0,0
1,1.1479,1,2,0,0
1,1.0079,3,2,1,1
1,1.1615,1,1,1,0
NaN,-Inf,1,1,1,0
1,0.84187,3,1,0,0
NaN,-Inf,1,1,0,0
NaN,-Inf,3,2,0,0
1,0.93418,3,1,0,1
1,1.5502,1,1,1,1
1,0.88985,1,1,0,0
1,1.8497,1,2,0,1
-1,-Inf,3,2,0,1
NaN,-Inf,3,1,0,0
1,1.0696,3,2,0,0
1,0.74301,1,2,1,0
1,0.85567,3,1,1,1
NaN,-Inf,3,1,1,0
NaN,-Inf,1,2,1,0
1,1.5831,3,1,1,1
NaN,-Inf,1,1,0,0
1,0.81669,1,2,0,0
0,1.3687,3,1,1,0
NaN,-Inf,3,2,0,0
1,1.6982,1,2,1,0
1,0.95927,1,1,0,1
NaN,-Inf,1,2,0,0
1,1.3184,3,2,0,1
1,0.68728,3,2,0,0
NaN,-Inf,3,1,0,0
1,0.9491,1,1,1,1
1,1.0246,3,2,1,0
NaN,-Inf,1,2,0,0
NaN,-Inf,3,1,0,0
1,1.1349,3,1,0,0
1,1.2124,1,1,1,1
1,1.3105,1,1,0,1
1,0.77836,1,1,0,0
1,0.89196,3,2,1,1
1,0.95835,3,1,0,1
1,0.88247,1,1,1,0
