Crt,RT,ld,dr,islongdelay,ischange
NaN,-Inf,3,1,0,0
1,1.2377,3,2,0,1
1,0.98398,3,2,0,0
1,0.99734,1,2,0,0
1,0.78738,1,1,1,0
NaN,-Inf,1,2,0,0
1,0.88382,1,1,1,1
1,1.3111,3,2,1,1
1,1.1337,3,2,1,0
1,0.94559,1,2,0,1
1,0.86134,1,1,1,1
NaN,-Inf,3,2,0,0
1,1.5845,3,2,1,0
1,1.1208,1,1,0,1
1,0.80682,3,1,0,1
NaN,-Inf,1,2,0,0
1,1.3754,1,1,0,0
1,1.2783,3,1,1,0
1,1.4335,3,2,1,1
1,1.1082,3,2,0,1
NaN,-Inf,1,2,0,0
1,0.9082,3,2,1,1
NaN,-Inf,3,1,1,0
NaN,-Inf,1,2,0,0
1,1.6364,1,2,1,0
1,0.91215,1,1,1,0
NaN,-Inf,3,1,0,0
NaN,-Inf,1,2,1,0
1,0.90713,1,1,1,1
1,1.0192,1,2,0,1
1,1.5311,3,2,0,0
NaN,-Inf,3,1,0,0
1,1.1119,1,2,0,0
1,1.0545,3,2,0,0
NaN,-Inf,1,1,0,0
NaN,-Inf,3,2,0,0
1,0.88707,1,1,0,0
1,0.97501,1,1,0,1
1,1.0829,1,2,1,0
-1,-Inf,1,1,1,1
NaN,-Inf,1,2,0,0
1,1.1228,3,1,0,0
NaN,-Inf,3,1,0,0
NaN,-Inf,1,1,1,0
0,0.95106,3,1,1,1
NaN,-Inf,3,1,1,0
1,0.68642,3,1,1,0
0,0.8046,3,1,0,1
NaN,-Inf,1,1,0,0
NaN,-Inf,1,2,0,0
NaN,-Inf,3,2,1,0
0,1.765,3,2,1,0
0,0.86947,3,2,1,0
1,0.87563,1,2,0,1
0,0.97735,1,1,1,1
NaN,-Inf,3,1,0,0
1,1.083,1,2,0,0
0,0.8791,3,1,1,1
0,0.8881,1,2,1,0
NaN,-Inf,1,1,1,0
1,0.81681,3,1,0,0
NaN,-Inf,1,1,0,0
NaN,-Inf,3,2,0,0
0,1.0846,3,1,0,1
1,1.3963,1,2,1,1
1,0.80026,1,1,0,0
1,0.88805,1,1,0,1
1,0.86621,3,1,0,1
NaN,-Inf,3,2,0,0
0,1.0522,3,2,0,0
1,0.71012,1,1,1,0
-1,-Inf,3,1,1,1
NaN,-Inf,3,2,1,0
NaN,-Inf,1,1,1,0
0,0.87751,3,1,1,1
NaN,-Inf,1,1,0,0
1,0.9121,1,1,0,0
1,1.1751,3,2,1,0
NaN,-Inf,3,2,0,0
0,1.975,1,2,1,0
1,0.82953,1,1,0,1
NaN,-Inf,1,2,0,0
1,0.86896,3,2,0,1
0,1.1254,3,1,0,0
NaN,-Inf,3,1,0,0
1,1.3713,1,2,1,1
0,0.84705,3,2,1,0
NaN,-Inf,1,2,0,0
NaN,-Inf,3,2,0,0
1,1.2762,3,1,0,0
-1,-Inf,1,1,1,1
1,0.88609,1,2,0,1
1,1.8568,1,2,0,0
-1,-Inf,3,2,1,1
1,1.1726,3,1,0,1
1,1.0605,1,1,1,0
