Crt,RT,ld,dr,islongdelay,ischange
NaN,-Inf,1,2,0,0
NaN,-Inf,1,2,0,0
NaN,-Inf,3,2,1,0
1,0.72343,3,2,1,0
0,0.95722,3,1,1,0
1,0.98723,1,2,0,1
1,0.60113,1,1,1,1
NaN,-Inf,3,2,0,0
1,1.1631,1,1,0,0
0,0.93491,3,2,1,1
1,0.88095,1,1,1,0
NaN,-Inf,1,1,1,0
1,0.82462,3,1,0,0
NaN,-Inf,1,2,0,0
NaN,-Inf,3,2,0,0
0,0.88466,3,2,0,1
1,0.70856,1,1,1,1
1,0.79244,1,1,0,0
1,0.64837,1,1,0,1
1,0.76452,3,2,0,1
NaN,-Inf,3,2,0,0
1,0.66814,3,2,0,0
1,1.8141,1,1,1,0
0,0.78204,3,2,1,1
NaN,-Inf,3,1,1,0
NaN,-Inf,1,1,1,0
0,0.73374,3,1,1,1
NaN,-Inf,1,1,0,0
1,0.95177,1,1,0,0
1,1.1195,3,1,1,0
NaN,-Inf,3,2,0,0
1,0.88742,1,1,1,0
1,0.89325,1,1,0,1
NaN,-Inf,1,2,0,0
1,1.2685,3,1,0,1
1,0.75716,3,1,0,0
NaN,-Inf,3,2,0,0
1,0.97121,1,1,1,1
1,0.76682,3,2,1,0
NaN,-Inf,1,2,0,0
NaN,-Inf,3,2,0,0
1,0.69279,3,2,0,0
1,0.81871,1,1,1,1
1,0.90858,1,1,0,1
1,0.76048,1,1,0,0
0,1.0105,3,2,1,1
1,0.85234,3,2,0,1
1,0.79611,1,2,1,0
NaN,-Inf,3,1,0,0
0,0.64545,3,1,0,1
1,1.4474,3,1,0,0
1,0.79736,1,2,0,0
1,0.69137,1,1,1,0
NaN,-Inf,1,1,0,0
1,0.90725,1,1,1,1
-1,-Inf,3,1,1,1
1,0.71705,3,1,1,0
1,0.96902,1,1,0,1
1,0.73285,1,1,1,1
NaN,-Inf,3,2,0,0
1,1.0086,3,2,1,0
1,1.0887,1,2,0,1
0,1.7664,3,2,0,1
NaN,-Inf,1,1,0,0
1,0.75645,1,2,0,0
1,0.67842,3,2,1,0
0,0.56227,3,2,1,1
1,0.70814,3,2,0,1
NaN,-Inf,1,1,0,0
1,1.2521,3,1,1,1
NaN,-Inf,3,2,1,0
NaN,-Inf,1,1,0,0
1,0.71576,1,2,1,0
1,0.7438,1,2,1,0
NaN,-Inf,3,2,0,0
NaN,-Inf,1,1,1,0
1,0.00059004,1,2,1,1
1,0.83556,1,2,0,1
1,0.89148,3,1,0,0
NaN,-Inf,3,2,0,0
1,0.66331,1,1,0,0
1,1.0213,3,1,0,0
NaN,-Inf,1,1,0,0
NaN,-Inf,3,2,0,0
1,0.46315,1,2,0,0
1,0.80702,1,1,0,1
1,0.74707,1,1,1,0
1,0.74682,1,2,1,1
NaN,-Inf,1,2,0,0
1,0.73069,3,2,0,0
NaN,-Inf,3,2,0,0
NaN,-Inf,1,2,1,0
1,0.83843,3,1,1,1
NaN,-Inf,3,1,1,0
1,0.75824,3,2,1,0
1,1.1082,3,1,0,1
