Crt,RT,ld,dr,islongdelay,ischange
NaN,-Inf,1,2,0,0
NaN,-Inf,1,2,0,0
NaN,-Inf,3,1,1,0
1,1.132,3,2,1,0
0,1.5577,3,1,1,0
1,1.1559,1,1,0,1
1,1.1853,1,2,1,1
NaN,-Inf,3,2,0,0
1,1.2114,1,2,0,0
1,1.3516,3,2,1,1
1,0.8723,1,2,1,0
NaN,-Inf,1,2,1,0
1,1.0412,3,1,0,0
NaN,-Inf,1,1,0,0
NaN,-Inf,3,2,0,0
1,0.9488,3,2,0,1
1,1.0605,1,1,1,1
1,1.3931,1,1,0,0
1,1.2882,1,1,0,1
1,1.002,3,1,0,1
NaN,-Inf,3,1,0,0
-1,-Inf,3,1,0,0
1,1.398,1,1,1,0
1,1.2219,3,2,1,1
NaN,-Inf,3,1,1,0
NaN,-Inf,1,1,1,0
1,1.0782,3,2,1,1
NaN,-Inf,1,2,0,0
1,1.3202,1,2,0,0
1,1.4156,3,2,1,0
NaN,-Inf,3,2,0,0
1,0.79959,1,2,1,0
1,0.98991,1,1,0,1
NaN,-Inf,1,2,0,0
1,1.4937,3,2,0,1
1,0.98976,3,1,0,0
NaN,-Inf,3,1,0,0
1,1.6036,1,1,1,1
1,1.1428,3,2,1,0
NaN,-Inf,1,2,0,0
NaN,-Inf,3,1,0,0
1,0.66061,3,2,0,0
1,0.90047,1,2,1,1
1,0.93304,1,1,0,1
1,1.1932,1,1,0,0
1,0.76231,3,1,1,1
0,0.8764,3,1,0,1
1,1.1319,1,1,1,0
NaN,-Inf,3,2,0,0
1,0.82962,3,1,0,1
0,1.1353,3,1,0,0
1,0.76635,1,2,0,0
1,0.90825,1,1,1,0
NaN,-Inf,1,1,0,0
1,0.8197,1,2,1,1
1,1.2241,3,1,1,1
1,0.95766,3,2,1,0
1,0.82601,1,2,0,1
1,0.71726,1,2,1,1
NaN,-Inf,3,1,0,0
0,1.433,3,1,1,0
1,0.80843,1,1,0,1
0,1.9589,3,1,0,1
NaN,-Inf,1,1,0,0
1,0.86949,1,2,0,0
1,1.0794,3,1,1,0
1,1.0672,3,2,1,1
1,0.81518,3,2,0,1
NaN,-Inf,1,2,0,0
0,1.4049,3,1,1,1
NaN,-Inf,3,2,1,0
NaN,-Inf,1,1,0,0
1,0.68456,1,1,1,0
1,0.84001,1,1,1,0
NaN,-Inf,3,2,0,0
NaN,-Inf,1,1,1,0
0,0.99598,1,2,1,1
1,0.89963,1,1,0,1
1,1.9797,3,1,0,0
NaN,-Inf,3,2,0,0
1,0.83999,1,2,0,0
1,0.99773,3,2,0,0
NaN,-Inf,1,1,0,0
NaN,-Inf,3,2,0,0
1,0.74507,1,1,0,0
1,0.71938,1,2,0,1
1,0.94757,1,2,1,0
1,1.1396,1,1,1,1
NaN,-Inf,1,2,0,0
1,0.89974,3,2,0,0
NaN,-Inf,3,2,0,0
NaN,-Inf,1,2,1,0
1,1.0713,3,1,1,1
NaN,-Inf,3,2,1,0
0,1.4547,3,1,1,0
1,1.4284,3,1,0,1
