Crt,RT,ld,dr,islongdelay,ischange
NaN,-Inf,3,1,0,0
0,1.1743,3,2,0,1
1,1.3202,3,2,0,0
1,1.0941,1,2,0,0
1,0.38017,1,1,1,0
NaN,-Inf,1,2,0,0
1,0.90763,1,1,1,1
1,1.0711,3,2,1,1
1,1.0133,3,2,1,0
0,1.6975,1,2,0,1
1,0.88516,1,1,1,1
NaN,-Inf,3,2,0,0
0,1.4576,3,2,1,0
1,1.1615,1,1,0,1
0,0.9277,3,1,0,1
NaN,-Inf,1,2,0,0
0,0.18945,1,1,0,0
1,1.4874,3,1,1,0
-1,-Inf,3,2,1,1
0,1.645,3,2,0,1
NaN,-Inf,1,2,0,0
0,1.5808,3,2,1,1
NaN,-Inf,3,1,1,0
NaN,-Inf,1,2,0,0
1,1.2443,1,2,1,0
1,0.92791,1,1,1,0
NaN,-Inf,3,1,0,0
NaN,-Inf,1,2,1,0
1,0.65172,1,1,1,1
0,1.6925,1,2,0,1
1,1.6202,3,2,0,0
NaN,-Inf,3,1,0,0
0,1.7603,1,2,0,0
-1,-Inf,3,2,0,0
NaN,-Inf,1,1,0,0
NaN,-Inf,3,2,0,0
1,1.9919,1,1,0,0
-1,-Inf,1,1,0,1
1,0.99692,1,2,1,0
0,1.5714,1,1,1,1
NaN,-Inf,1,2,0,0
1,0.99535,3,1,0,0
NaN,-Inf,3,1,0,0
NaN,-Inf,1,1,1,0
-1,-Inf,3,1,1,1
NaN,-Inf,3,1,1,0
0,1.5749,3,1,1,0
0,0.91232,3,1,0,1
NaN,-Inf,1,1,0,0
NaN,-Inf,1,2,0,0
NaN,-Inf,3,2,1,0
1,1.2275,3,2,1,0
1,1.4938,3,2,1,0
-1,-Inf,1,2,0,1
0,1.625,1,1,1,1
NaN,-Inf,3,1,0,0
-1,-Inf,1,2,0,0
0,1.0234,3,1,1,1
-1,-Inf,1,2,1,0
NaN,-Inf,1,1,1,0
1,0.84101,3,1,0,0
NaN,-Inf,1,1,0,0
NaN,-Inf,3,2,0,0
0,1.1173,3,1,0,1
0,1.1484,1,2,1,1
-1,-Inf,1,1,0,0
1,1.1366,1,1,0,1
0,1.9942,3,1,0,1
NaN,-Inf,3,2,0,0
-1,-Inf,3,2,0,0
-1,-Inf,1,1,1,0
-1,-Inf,3,1,1,1
NaN,-Inf,3,2,1,0
NaN,-Inf,1,1,1,0
1,0.94144,3,1,1,1
NaN,-Inf,1,1,0,0
0,0.61659,1,1,0,0
0,0.94361,3,2,1,0
NaN,-Inf,3,2,0,0
-1,-Inf,1,2,1,0
-1,-Inf,1,1,0,1
NaN,-Inf,1,2,0,0
0,1.1969,3,2,0,1
1,0.93322,3,1,0,0
NaN,-Inf,3,1,0,0
-1,-Inf,1,2,1,1
0,1.935,3,2,1,0
NaN,-Inf,1,2,0,0
NaN,-Inf,3,2,0,0
0,0.00062923,3,1,0,0
1,0.00064533,1,1,1,1
1,0.00064358,1,2,0,1
0,0.00062678,1,2,0,0
1,0.00063483,3,2,1,1
1,0.00063308,3,1,0,1
0,0.00063658,1,1,1,0
