RT,Crt,trltp,shrink,iscong,trgtside,crtdir
0.48653,1,1,0.5,1,2,2
-Inf,NaN,1,0.5,0,2,NaN
1.0485,1,1,0.5,0,2,1
0.49244,1,1,0.5,1,1,1
0.51628,1,1,0.5,1,2,2
-Inf,NaN,1,0.5,0,2,NaN
0.4923,1,1,0.5,0,2,1
0.40048,1,1,0.5,0,1,2
0.35415,1,1,0.5,0,1,2
-Inf,NaN,1,0.5,0,2,NaN
-Inf,NaN,0,0.5,0,1,NaN
-Inf,NaN,0,0.5,0,1,NaN
-Inf,NaN,0,0.5,0,1,NaN
0.46825,1,1,0.5,0,2,1
0.51829,1,1,0.5,1,1,1
0.46003,1,1,0.5,1,2,2
-Inf,NaN,1,0.5,0,1,NaN
0.48576,1,1,0.5,1,1,1
0.4654,1,1,0.5,0,1,2
0.51087,1,1,0.5,0,2,1
0.48946,1,1,0.5,0,1,2
-Inf,NaN,0,0.5,0,2,NaN
0.49174,1,1,0.5,1,1,1
0.38768,1,1,0.5,1,2,2
0.41765,1,2,0.5,1,1,1
-Inf,NaN,2,0.5,0,2,NaN
0.51916,1,2,0.5,0,1,2
-Inf,NaN,2,0.5,0,2,NaN
0.55342,1,2,0.5,0,2,1
-Inf,NaN,0,0.5,0,1,NaN
0.41716,1,2,0.5,0,2,1
0.39173,1,2,0.5,0,1,2
0.39971,1,2,0.5,1,1,1
-Inf,NaN,2,0.5,0,1,NaN
0.33303,0,2,0.5,1,2,2
0.42275,1,2,0.5,1,1,1
-Inf,NaN,0,0.5,0,2,NaN
0.50529,1,2,0.5,0,1,2
-Inf,NaN,2,0.5,0,1,NaN
0.49691,1,2,0.5,1,2,2
0.40904,1,2,0.5,1,2,2
0.48504,1,2,0.5,0,2,1
0.46918,1,2,0.5,1,1,1
0.4212,1,2,0.5,1,2,2
-Inf,NaN,0,0.5,0,1,NaN
-Inf,NaN,0,0.5,0,2,NaN
1.7545,1,2,0.5,0,1,2
0.43688,1,2,0.5,0,2,1
0.52462,1,3,0.5,1,1,1
0.36474,1,3,0.5,0,1,2
-Inf,NaN,3,0.5,0,1,NaN
-Inf,NaN,3,0.5,0,1,NaN
-Inf,NaN,3,0.5,0,1,NaN
0.44288,1,3,0.5,0,1,2
0.45458,1,3,0.5,1,1,1
-Inf,NaN,0,0.5,0,2,NaN
-Inf,NaN,0,0.5,0,1,NaN
1.1048,1,3,0.5,0,2,1
-Inf,-1,3,0.5,1,2,2
-Inf,NaN,3,0.5,0,2,NaN
0.43641,1,3,0.5,0,2,1
0.49095,1,3,0.5,0,1,2
0.65634,0,3,0.5,0,2,1
0.41248,1,3,0.5,0,2,1
0.38873,1,3,0.5,1,2,2
0.52858,1,3,0.5,1,2,2
0.57844,1,3,0.5,1,1,1
-Inf,NaN,0,0.5,0,2,NaN
0.46515,1,3,0.5,0,1,2
0.48656,1,3,0.5,1,1,1
-Inf,NaN,0,0.5,0,2,NaN
0.83023,0,3,0.5,1,2,2
-Inf,NaN,0,0.5,0,1,NaN
0.43938,1,2,0.5,1,2,2
0.42057,1,2,0.5,0,2,1
-Inf,NaN,2,0.5,0,2,NaN
0.44307,1,2,0.5,0,1,2
-Inf,NaN,0,0.5,0,1,NaN
