RT,Crt,trltp,shrink,iscong,trgtside,crtdir
1.3497,1,1,0.5,1,2,2
-Inf,NaN,1,0.5,0,2,NaN
0.78362,1,1,0.5,0,2,1
1.228,1,1,0.5,1,1,1
0.62774,1,1,0.5,1,2,2
-Inf,NaN,1,0.5,0,2,NaN
1.2359,1,1,0.5,0,2,1
1.3436,0,1,0.5,0,1,2
1.6728,1,1,0.5,0,1,2
-Inf,NaN,1,0.5,0,2,NaN
-Inf,NaN,0,0.5,0,1,NaN
-Inf,NaN,0,0.5,0,1,NaN
-Inf,NaN,0,0.5,0,1,NaN
1.403,1,1,0.5,0,2,1
1.9576,1,1,0.5,1,1,1
1.3395,1,1,0.5,1,2,2
-Inf,NaN,1,0.5,0,1,NaN
1.2771,1,1,0.5,1,1,1
0.97838,1,1,0.5,0,1,2
1.2232,1,1,0.5,0,2,1
1.2572,1,1,0.5,0,1,2
-Inf,NaN,0,0.5,0,2,NaN
0.99527,1,1,0.5,1,1,1
1.8578,1,1,0.5,1,2,2
1.3923,1,2,0.5,1,1,1
-Inf,NaN,2,0.5,0,2,NaN
0.7824,1,2,0.5,0,1,2
-Inf,NaN,2,0.5,0,2,NaN
-Inf,-1,2,0.5,0,2,1
-Inf,NaN,0,0.5,0,1,NaN
1.0646,1,2,0.5,0,2,1
0.76625,1,2,0.5,0,1,2
0.57446,1,2,0.5,1,1,1
-Inf,NaN,2,0.5,0,1,NaN
0.71657,1,2,0.5,1,2,2
1.8378,0,2,0.5,1,1,1
-Inf,NaN,0,0.5,0,2,NaN
0.70431,1,2,0.5,0,1,2
-Inf,NaN,2,0.5,0,1,NaN
0.7277,1,2,0.5,1,2,2
0.79214,1,2,0.5,1,2,2
0.73167,1,2,0.5,0,2,1
0.75585,1,2,0.5,1,1,1
1.1719,1,2,0.5,1,2,2
-Inf,NaN,0,0.5,0,1,NaN
-Inf,NaN,0,0.5,0,2,NaN
0.90613,1,2,0.5,0,1,2
1.3397,1,2,0.5,0,2,1
0.76338,1,3,0.5,1,1,1
0.76382,1,3,0.5,0,1,2
-Inf,NaN,3,0.5,0,1,NaN
-Inf,NaN,3,0.5,0,1,NaN
-Inf,NaN,3,0.5,0,1,NaN
0.80883,1,3,0.5,0,1,2
0.95076,1,3,0.5,1,1,1
-Inf,NaN,0,0.5,0,2,NaN
-Inf,NaN,0,0.5,0,1,NaN
1.5373,1,3,0.5,0,2,1
1.8347,1,3,0.5,1,2,2
-Inf,NaN,3,0.5,0,2,NaN
1.5793,1,3,0.5,0,2,1
1.4731,0,3,0.5,0,1,2
1.7595,0,3,0.5,0,2,1
1.636,1,3,0.5,0,2,1
0.89044,1,3,0.5,1,2,2
0.9988,1,3,0.5,1,2,2
0.69641,1,3,0.5,1,1,1
-Inf,NaN,0,0.5,0,2,NaN
1.1768,1,3,0.5,0,1,2
1.7166,1,3,0.5,1,1,1
-Inf,NaN,0,0.5,0,2,NaN
0.65294,0,3,0.5,1,2,2
-Inf,NaN,0,0.5,0,1,NaN
0.80773,1,2,0.5,1,2,2
1.4065,1,2,0.5,0,2,1
-Inf,NaN,2,0.5,0,2,NaN
0.73419,1,2,0.5,0,1,2
-Inf,NaN,0,0.5,0,1,NaN
0.62223,1,2,0.5,1,1,1
0.62582,1,2,0.5,1,1,1
0.61998,1,2,0.5,1,2,2
0.75986,1,2,0.5,1,2,2
0.82604,1,2,0.5,0,1,2
0.69937,1,2,0.5,0,2,1
-Inf,NaN,0,0.5,0,2,NaN
-Inf,NaN,2,0.5,0,1,NaN
0.96194,1,2,0.5,0,2,1
1.3534,1,2,0.5,1,2,2
-Inf,-1,2,0.5,0,2,1
0.80982,1,2,0.5,1,1,1
0.83106,1,2,0.5,0,2,1
0.79688,1,2,0.5,0,1,2
-Inf,NaN,0,0.5,0,2,NaN
-Inf,NaN,2,0.5,0,1,NaN
-Inf,NaN,2,0.5,0,2,NaN
0.92742,1,2,0.5,1,2,2
-Inf,NaN,0,0.5,0,1,NaN
