Crt,RT,ld,dr,islongdelay,ischange
NaN,-Inf,3,1,0,0
0,0.7941,3,1,0,1
1,0.95631,3,1,0,0
1,0.59414,1,2,0,0
1,0.68027,1,1,1,0
NaN,-Inf,1,1,0,0
1,0.61582,1,2,1,1
1,1.4114,3,1,1,1
1,0.89752,3,2,1,0
1,0.75737,1,2,0,1
1,0.97708,1,2,1,1
NaN,-Inf,3,1,0,0
1,0.72557,3,1,1,0
1,0.70928,1,1,0,1
1,1.3878,3,1,0,1
NaN,-Inf,1,2,0,0
1,1.5133,1,2,0,0
1,0.89146,3,1,1,0
1,0.55941,3,1,1,1
1,0.7935,3,2,0,1
NaN,-Inf,1,2,0,0
1,0.82465,3,1,1,1
NaN,-Inf,3,2,1,0
NaN,-Inf,1,2,0,0
1,0.7687,1,2,1,0
1,0.80449,1,2,1,0
NaN,-Inf,3,2,0,0
NaN,-Inf,1,2,1,0
0,0.92886,1,2,1,1
1,0.98465,1,2,0,1
1,0.93682,3,1,0,0
NaN,-Inf,3,1,0,0
1,0.72471,1,2,0,0
0,1.1066,3,2,0,0
NaN,-Inf,1,1,0,0
NaN,-Inf,3,1,0,0
1,0.9966,1,2,0,0
1,1.0128,1,2,0,1
1,1.2647,1,2,1,0
1,0.85646,1,1,1,1
NaN,-Inf,1,2,0,0
1,0.80009,3,1,0,0
NaN,-Inf,3,1,0,0
NaN,-Inf,1,1,1,0
1,0.99587,3,2,1,1
NaN,-Inf,3,1,1,0
1,1.4915,3,1,1,0
0,0.93767,3,1,0,1
NaN,-Inf,1,1,0,0
NaN,-Inf,1,2,0,0
NaN,-Inf,3,1,1,0
1,0.82377,3,1,1,0
0,0.96168,3,1,1,0
0,1.4248,1,1,0,1
1,0.82258,1,2,1,1
NaN,-Inf,3,1,0,0
1,0.62384,1,1,0,0
1,1.324,3,2,1,1
1,0.72651,1,2,1,0
NaN,-Inf,1,1,1,0
1,0.88576,3,2,0,0
NaN,-Inf,1,1,0,0
NaN,-Inf,3,1,0,0
1,1.345,3,1,0,1
0,0.56227,1,2,1,1
1,0.5343,1,1,0,0
1,0.75801,1,2,0,1
1,0.94385,3,2,0,1
NaN,-Inf,3,1,0,0
1,0.71348,3,2,0,0
1,1.1474,1,2,1,0
1,0.77172,3,1,1,1
NaN,-Inf,3,2,1,0
NaN,-Inf,1,1,1,0
1,1.1388,3,2,1,1
NaN,-Inf,1,2,0,0
1,0.73327,1,1,0,0
1,1.093,3,2,1,0
NaN,-Inf,3,1,0,0
1,0.65347,1,1,1,0
1,0.65083,1,1,0,1
NaN,-Inf,1,2,0,0
1,0.66727,3,2,0,1
1,0.83543,3,2,0,0
NaN,-Inf,3,2,0,0
1,1.2647,1,2,1,1
1,0.76857,3,2,1,0
NaN,-Inf,1,1,0,0
NaN,-Inf,3,2,0,0
1,0.84281,3,2,0,0
1,1.0006,1,1,1,1
0,1.8843,1,2,0,1
1,0.64648,1,1,0,0
1,1.3049,3,2,1,1
0,0.75426,3,1,0,1
1,0.55491,1,1,1,0
