Crt,RT,ld,dr,islongdelay,ischange
NaN,-Inf,1,2,0,0
NaN,-Inf,1,2,0,0
NaN,-Inf,3,2,1,0
1,1.4592,3,2,1,0
0,1.3573,3,1,1,0
1,1.1313,1,2,0,1
1,1.1052,1,1,1,1
NaN,-Inf,3,2,0,0
1,1.0831,1,1,0,0
-1,-Inf,3,2,1,1
1,0.75291,1,1,1,0
NaN,-Inf,1,1,1,0
1,1.7048,3,1,0,0
NaN,-Inf,1,2,0,0
NaN,-Inf,3,2,0,0
1,1.7966,3,2,0,1
1,0.93268,1,1,1,1
1,1.1126,1,1,0,0
1,1.0404,1,1,0,1
0,1.4103,3,2,0,1
NaN,-Inf,3,2,0,0
1,1.0842,3,2,0,0
1,1.6222,1,1,1,0
-1,-Inf,3,2,1,1
NaN,-Inf,3,1,1,0
NaN,-Inf,1,1,1,0
0,1.3018,3,1,1,1
NaN,-Inf,1,1,0,0
1,1.1838,1,1,0,0
1,1.2236,3,1,1,0
NaN,-Inf,3,2,0,0
1,0.92737,1,1,1,0
1,0.98941,1,1,0,1
NaN,-Inf,1,2,0,0
1,1.1662,3,1,0,1
1,0.83712,3,1,0,0
NaN,-Inf,3,2,0,0
1,0.78712,1,1,1,1
1,1.223,3,2,1,0
NaN,-Inf,1,2,0,0
NaN,-Inf,3,2,0,0
1,1.0368,3,2,0,0
1,0.83372,1,1,1,1
1,0.95673,1,1,0,1
1,1.1207,1,1,0,0
0,1.7786,3,2,1,1
0,0.91647,3,2,0,1
1,0.97318,1,2,1,0
NaN,-Inf,3,1,0,0
1,1.5381,3,1,0,1
1,1.332,3,1,0,0
1,1.042,1,2,0,0
1,0.87976,1,1,1,0
NaN,-Inf,1,1,0,0
1,0.91978,1,1,1,1
1,1.5315,3,1,1,1
1,1.2015,3,1,1,0
1,0.85254,1,1,0,1
1,0.8649,1,1,1,1
NaN,-Inf,3,2,0,0
1,1.2853,3,2,1,0
1,0.92534,1,2,0,1
1,0.90709,3,2,0,1
NaN,-Inf,1,1,0,0
1,1.0332,1,2,0,0
1,1.0909,3,2,1,0
1,1.2307,3,2,1,1
1,0.87273,3,2,0,1
NaN,-Inf,1,1,0,0
1,1.1926,3,1,1,1
NaN,-Inf,3,2,1,0
NaN,-Inf,1,1,0,0
1,1.0164,1,2,1,0
1,0.92414,1,2,1,0
NaN,-Inf,3,2,0,0
NaN,-Inf,1,1,1,0
1,1.1439,1,2,1,1
1,0.91992,1,2,0,1
1,0.98356,3,1,0,0
NaN,-Inf,3,2,0,0
1,0.93979,1,1,0,0
1,0.87389,3,1,0,0
NaN,-Inf,1,1,0,0
NaN,-Inf,3,2,0,0
1,1.0357,1,2,0,0
1,0.92348,1,1,0,1
1,1.0715,1,1,1,0
1,0.92721,1,2,1,1
NaN,-Inf,1,2,0,0
1,1.207,3,2,0,0
NaN,-Inf,3,2,0,0
NaN,-Inf,1,2,1,0
1,1.0431,3,1,1,1
NaN,-Inf,3,1,1,0
1,1.7467,3,2,1,0
-1,-Inf,3,1,0,1
