Crt,RT,ld,dr,islongdelay,ischange
NaN,-Inf,3,2,0,0
1,1.4658,3,2,0,1
1,1.9797,3,2,0,0
0,1.2979,1,2,0,0
1,0.91184,1,1,1,0
NaN,-Inf,1,2,0,0
1,1.2397,1,1,1,1
0,1.4194,3,2,1,1
1,0.64949,3,1,1,0
1,0.82154,1,2,0,1
1,1.1134,1,1,1,1
NaN,-Inf,3,1,0,0
1,0.70143,3,1,1,0
1,0.76529,1,2,0,1
1,0.8513,3,2,0,1
NaN,-Inf,1,2,0,0
1,1.0974,1,1,0,0
1,0.83632,3,1,1,0
0,0.66302,3,1,1,1
1,1.337,3,2,0,1
NaN,-Inf,1,2,0,0
1,1.6089,3,2,1,1
NaN,-Inf,3,1,1,0
NaN,-Inf,1,2,0,0
1,0.6568,1,1,1,0
0,1.6927,1,1,1,0
NaN,-Inf,3,1,0,0
NaN,-Inf,1,1,1,0
0,0.89653,1,1,1,1
1,0.72099,1,1,0,1
1,0.9444,3,2,0,0
NaN,-Inf,3,1,0,0
1,0.83643,1,1,0,0
-1,-Inf,3,2,0,0
NaN,-Inf,1,1,0,0
NaN,-Inf,3,1,0,0
1,1.1564,1,2,0,0
1,0.86825,1,1,0,1
-1,-Inf,1,2,1,0
1,1.3682,1,2,1,1
NaN,-Inf,1,2,0,0
1,0.84813,3,2,0,0
NaN,-Inf,3,1,0,0
NaN,-Inf,1,1,1,0
-1,-Inf,3,1,1,1
NaN,-Inf,3,2,1,0
1,0.93973,3,2,1,0
1,1.2657,3,2,0,1
NaN,-Inf,1,2,0,0
NaN,-Inf,1,2,0,0
NaN,-Inf,3,1,1,0
1,0.97562,3,2,1,0
1,0.75265,3,2,1,0
1,0.85569,1,2,0,1
-1,-Inf,1,2,1,1
NaN,-Inf,3,2,0,0
1,1.2156,1,2,0,0
1,1.0435,3,2,1,1
1,0.80544,1,1,1,0
NaN,-Inf,1,1,1,0
1,1.134,3,1,0,0
NaN,-Inf,1,1,0,0
NaN,-Inf,3,2,0,0
1,1.0333,3,1,0,1
1,1.4253,1,1,1,1
1,0.87665,1,1,0,0
1,0.82925,1,2,0,1
0,1.423,3,2,0,1
NaN,-Inf,3,1,0,0
1,0.71297,3,2,0,0
-1,-Inf,1,2,1,0
0,0.89068,3,1,1,1
NaN,-Inf,3,1,1,0
NaN,-Inf,1,2,1,0
0,1.4268,3,1,1,1
NaN,-Inf,1,1,0,0
1,1.0367,1,2,0,0
1,0.84486,3,1,1,0
NaN,-Inf,3,2,0,0
1,1.0045,1,2,1,0
1,1.1464,1,1,0,1
NaN,-Inf,1,2,0,0
-1,-Inf,3,2,0,1
1,1.1544,3,2,0,0
NaN,-Inf,3,1,0,0
1,1.3682,1,1,1,1
-1,-Inf,3,2,1,0
NaN,-Inf,1,2,0,0
NaN,-Inf,3,1,0,0
1,1.0821,3,1,0,0
0,0.95223,1,1,1,1
1,1.1541,1,1,0,1
1,0.78195,1,1,0,0
0,1.9678,3,2,1,1
1,0.83385,3,1,0,1
1,0.73783,1,1,1,0
