Crt,RT,ld,dr,islongdelay,ischange
NaN,-Inf,3,2,0,0
0,0.94236,3,2,0,1
1,0.49651,3,2,0,0
1,0.47028,1,2,0,0
1,0.80344,1,1,1,0
NaN,-Inf,1,2,0,0
0,0.46038,1,1,1,1
0,0.48779,3,2,1,1
0,0.44608,3,1,1,0
0,0.8258,1,2,0,1
1,0.76564,1,1,1,1
NaN,-Inf,3,1,0,0
1,0.4491,3,1,1,0
1,0.8973,1,2,0,1
1,0.91139,3,2,0,1
NaN,-Inf,1,2,0,0
1,1.6615,1,1,0,0
1,1.0472,3,1,1,0
-1,-Inf,3,1,1,1
0,0.86122,3,2,0,1
NaN,-Inf,1,2,0,0
0,0.50155,3,2,1,1
NaN,-Inf,3,1,1,0
NaN,-Inf,1,2,0,0
1,0.78081,1,1,1,0
0,1.0972,1,1,1,0
NaN,-Inf,3,1,0,0
NaN,-Inf,1,1,1,0
-1,-Inf,1,1,1,1
1,0.82109,1,1,0,1
1,1.2926,3,2,0,0
NaN,-Inf,3,1,0,0
1,0.79256,1,1,0,0
1,0.79091,3,2,0,0
NaN,-Inf,1,1,0,0
NaN,-Inf,3,1,0,0
-1,-Inf,1,2,0,0
0,0.93673,1,1,0,1
1,0.7963,1,2,1,0
0,1.0764,1,2,1,1
NaN,-Inf,1,2,0,0
1,0.90837,3,2,0,0
NaN,-Inf,3,1,0,0
NaN,-Inf,1,1,1,0
0,0.45694,3,1,1,1
NaN,-Inf,3,2,1,0
1,0.5602,3,2,1,0
0,0.78148,3,2,0,1
NaN,-Inf,1,2,0,0
NaN,-Inf,1,2,0,0
NaN,-Inf,3,1,1,0
1,0.62749,3,2,1,0
1,0.53389,3,2,1,0
1,0.83522,1,2,0,1
1,0.73836,1,2,1,1
NaN,-Inf,3,2,0,0
1,0.86765,1,2,0,0
0,0.49543,3,2,1,1
1,0.81701,1,1,1,0
NaN,-Inf,1,1,1,0
1,0.47755,3,1,0,0
NaN,-Inf,1,1,0,0
NaN,-Inf,3,2,0,0
0,0.71747,3,1,0,1
0,0.66109,1,1,1,1
1,1.0889,1,1,0,0
1,0.88131,1,2,0,1
0,1.6344,3,2,0,1
NaN,-Inf,3,1,0,0
-1,-Inf,3,2,0,0
-1,-Inf,1,2,1,0
-1,-Inf,3,1,1,1
NaN,-Inf,3,1,1,0
NaN,-Inf,1,2,1,0
0,0.39856,3,1,1,1
NaN,-Inf,1,1,0,0
1,0.60888,1,2,0,0
1,0.87212,3,1,1,0
NaN,-Inf,3,2,0,0
-1,-Inf,1,2,1,0
0,0.78228,1,1,0,1
NaN,-Inf,1,2,0,0
0,0.34998,3,2,0,1
-1,-Inf,3,2,0,0
NaN,-Inf,3,1,0,0
-1,-Inf,1,1,1,1
-1,-Inf,3,2,1,0
NaN,-Inf,1,2,0,0
NaN,-Inf,3,1,0,0
1,0.68577,3,1,0,0
0,1.9086,1,1,1,1
1,1.3493,1,1,0,1
1,0.53009,1,1,0,0
0,0.66764,3,2,1,1
-1,-Inf,3,1,0,1
-1,-Inf,1,1,1,0
