RT,Crt,trltp,shrink,iscong,trgtside,crtdir
0.60609,1,1,0.5,1,2,2
-Inf,NaN,1,0.5,0,2,NaN
0.54401,1,1,0.5,0,2,1
0.68377,1,1,0.5,1,1,1
0.6358,1,1,0.5,1,2,2
-Inf,NaN,1,0.5,0,2,NaN
0.53996,1,1,0.5,0,2,1
0.51198,1,1,0.5,0,1,2
0.59943,1,1,0.5,0,1,2
-Inf,NaN,1,0.5,0,2,NaN
-Inf,NaN,0,0.5,0,1,NaN
-Inf,NaN,0,0.5,0,1,NaN
-Inf,NaN,0,0.5,0,1,NaN
0.60428,1,1,0.5,0,2,1
0.68618,1,1,0.5,1,1,1
0.73165,1,1,0.5,1,2,2
-Inf,NaN,1,0.5,0,1,NaN
0.63807,1,1,0.5,1,1,1
0.74622,1,1,0.5,0,1,2
0.59976,1,1,0.5,0,2,1
0.82599,1,1,0.5,0,1,2
-Inf,NaN,0,0.5,0,2,NaN
0.79585,1,1,0.5,1,1,1
0.78734,1,1,0.5,1,2,2
0.76969,1,2,0.5,1,1,1
-Inf,NaN,2,0.5,0,2,NaN
0.71171,1,2,0.5,0,1,2
-Inf,NaN,2,0.5,0,2,NaN
0.52951,1,2,0.5,0,2,1
-Inf,NaN,0,0.5,0,1,NaN
0.6742,1,2,0.5,0,2,1
0.55931,1,2,0.5,0,1,2
0.56741,1,2,0.5,1,1,1
-Inf,NaN,2,0.5,0,1,NaN
0.61327,1,2,0.5,1,2,2
0.74294,1,2,0.5,1,1,1
-Inf,NaN,0,0.5,0,2,NaN
0.54505,1,2,0.5,0,1,2
-Inf,NaN,2,0.5,0,1,NaN
0.70553,1,2,0.5,1,2,2
0.57725,1,2,0.5,1,2,2
0.46865,1,2,0.5,0,2,1
0.64518,1,2,0.5,1,1,1
0.61305,1,2,0.5,1,2,2
-Inf,NaN,0,0.5,0,1,NaN
-Inf,NaN,0,0.5,0,2,NaN
0.58903,1,2,0.5,0,1,2
0.56481,1,2,0.5,0,2,1
0.54115,1,3,0.5,1,1,1
0.67674,1,3,0.5,0,1,2
-Inf,NaN,3,0.5,0,1,NaN
-Inf,NaN,3,0.5,0,1,NaN
-Inf,NaN,3,0.5,0,1,NaN
0.58638,1,3,0.5,0,1,2
0.52645,1,3,0.5,1,1,1
-Inf,NaN,0,0.5,0,2,NaN
-Inf,NaN,0,0.5,0,1,NaN
0.53893,1,3,0.5,0,2,1
0.65436,1,3,0.5,1,2,2
-Inf,NaN,3,0.5,0,2,NaN
0.78873,1,3,0.5,0,2,1
0.68287,1,3,0.5,0,1,2
1.2158,1,3,0.5,0,2,1
0.88382,1,3,0.5,0,2,1
1.3404,1,3,0.5,1,2,2
1.2882,1,3,0.5,1,2,2
0.6984,1,3,0.5,1,1,1
-Inf,NaN,0,0.5,0,2,NaN
0.56255,0,3,0.5,0,1,2
0.71807,1,3,0.5,1,1,1
-Inf,NaN,0,0.5,0,2,NaN
0.55859,1,3,0.5,1,2,2
-Inf,NaN,0,0.5,0,1,NaN
0.60773,1,2,0.5,1,2,2
0.38969,1,2,0.5,0,2,1
-Inf,NaN,2,0.5,0,2,NaN
0.47821,1,2,0.5,0,1,2
-Inf,NaN,0,0.5,0,1,NaN
0.001402,0,2,0.5,1,1,1
0.0013992,0,2,0.5,1,1,1
0.0013971,1,2,0.5,1,2,2
0.0017509,1,2,0.5,1,2,2
0.0014335,1,2,0.5,0,1,2
0.0014041,0,2,0.5,0,2,1
-Inf,NaN,0,0.5,0,2,NaN
-Inf,NaN,2,0.5,0,1,NaN
0.65009,1,2,0.5,0,2,1
0.7154,1,2,0.5,1,2,2
0.47761,1,2,0.5,0,2,1
0.59402,1,2,0.5,1,1,1
0.5274,1,2,0.5,0,2,1
0.52465,1,2,0.5,0,1,2
-Inf,NaN,0,0.5,0,2,NaN
-Inf,NaN,2,0.5,0,1,NaN
-Inf,NaN,2,0.5,0,2,NaN
1.0072,1,2,0.5,1,2,2
-Inf,NaN,0,0.5,0,1,NaN
1.0832,1,3,0.5,0,1,2
0.47321,1,3,0.5,0,2,1
0.60922,1,3,0.5,0,1,2
0.70366,1,3,0.5,0,2,1
1.3352,0,3,0.5,1,2,2
-Inf,NaN,3,0.5,0,2,NaN
-Inf,NaN,0,0.5,0,2,NaN
0.45768,1,3,0.5,0,1,2
0.63724,1,3,0.5,1,2,2
-Inf,NaN,0,0.5,0,2,NaN
0.46994,1,3,0.5,1,1,1
0.6725,1,3,0.5,0,1,2
-Inf,NaN,0,0.5,0,2,NaN
0.0014104,0,3,0.5,0,2,1
0.0014034,1,3,0.5,1,2,2
0.0014184,1,3,0.5,1,2,2
0.0014125,0,3,0.5,1,1,1
0.0013908,0,3,0.5,1,1,1
0.5789,1,3,0.5,1,1,1
-Inf,NaN,3,0.5,0,2,NaN
-Inf,NaN,3,0.5,0,1,NaN
-Inf,NaN,3,0.5,0,1,NaN
0.61261,1,3,0.5,0,2,1
0.49873,1,1,0.5,0,2,1
0.55324,1,1,0.5,1,2,2
-Inf,NaN,1,0.5,0,1,NaN
0.54804,1,1,0.5,0,1,2
0.91292,0,1,0.5,1,1,1
0.60473,1,1,0.5,1,2,2
0.48261,1,1,0.5,0,2,1
-Inf,NaN,0,0.5,0,1,NaN
-Inf,NaN,0,0.5,0,1,NaN
-Inf,NaN,0,0.5,0,1,NaN
0.67666,1,1,0.5,1,1,1
0.71999,1,1,0.5,0,1,2
1.2064,1,1,0.5,1,1,1
-Inf,-1,1,0.5,1,1,1
0.43404,1,1,0.5,1,1,1
0.56391,1,1,0.5,0,2,1
0.71195,1,1,0.5,1,2,2
-Inf,NaN,0,0.5,0,2,NaN
-Inf,-1,1,0.5,0,1,2
-Inf,NaN,1,0.5,0,1,NaN
-Inf,NaN,1,0.5,0,2,NaN
0.52155,1,1,0.5,0,1,2
0.56626,1,1,0.5,0,1,2
-Inf,NaN,1,0.5,0,2,NaN
