Crt,RT,ld,dr,islongdelay,ischange
NaN,-Inf,3,1,0,0
0,0.89342,3,2,0,1
1,0.74342,3,2,0,0
1,0.54943,1,2,0,0
1,0.65559,1,1,1,0
NaN,-Inf,1,2,0,0
1,0.8113,1,1,1,1
1,0.64693,3,2,1,1
1,1.189,3,2,1,0
1,1.009,1,2,0,1
1,1.3808,1,1,1,1
NaN,-Inf,3,2,0,0
1,0.78403,3,2,1,0
1,0.64077,1,1,0,1
0,1.2465,3,1,0,1
NaN,-Inf,1,2,0,0
1,0.88456,1,1,0,0
1,1.1224,3,1,1,0
1,0.73037,3,2,1,1
0,0.67616,3,2,0,1
NaN,-Inf,1,2,0,0
0,1.2912,3,2,1,1
NaN,-Inf,3,1,1,0
NaN,-Inf,1,2,0,0
1,0.65976,1,2,1,0
1,0.84773,1,1,1,0
NaN,-Inf,3,1,0,0
NaN,-Inf,1,2,1,0
0,1.1715,1,1,1,1
1,1.5714,1,2,0,1
1,1.1234,3,2,0,0
NaN,-Inf,3,1,0,0
1,1.3112,1,2,0,0
1,1.0127,3,2,0,0
NaN,-Inf,1,1,0,0
NaN,-Inf,3,2,0,0
1,1.1271,1,1,0,0
1,0.98304,1,1,0,1
0,0.85096,1,2,1,0
0,1.3392,1,1,1,1
NaN,-Inf,1,2,0,0
1,1.4987,3,1,0,0
NaN,-Inf,3,1,0,0
NaN,-Inf,1,1,1,0
1,1.4622,3,1,1,1
NaN,-Inf,3,1,1,0
0,1.2622,3,1,1,0
1,0.78012,3,1,0,1
NaN,-Inf,1,1,0,0
NaN,-Inf,1,2,0,0
NaN,-Inf,3,2,1,0
1,0.89136,3,2,1,0
1,1.4292,3,2,1,0
1,1.0208,1,2,0,1
1,0.8171,1,1,1,1
NaN,-Inf,3,1,0,0
1,0.79498,1,2,0,0
1,1.175,3,1,1,1
1,0.6328,1,2,1,0
NaN,-Inf,1,1,1,0
1,1.0248,3,1,0,0
NaN,-Inf,1,1,0,0
NaN,-Inf,3,2,0,0
1,1.2767,3,1,0,1
1,0.98856,1,2,1,1
1,0.62439,1,1,0,0
1,0.88831,1,1,0,1
1,1.0502,3,1,0,1
NaN,-Inf,3,2,0,0
1,1.2041,3,2,0,0
1,0.74199,1,1,1,0
1,1.598,3,1,1,1
NaN,-Inf,3,2,1,0
NaN,-Inf,1,1,1,0
1,1.5277,3,1,1,1
NaN,-Inf,1,1,0,0
1,0.75177,1,1,0,0
1,1.2635,3,2,1,0
NaN,-Inf,3,2,0,0
1,0.72744,1,2,1,0
1,1.1332,1,1,0,1
NaN,-Inf,1,2,0,0
0,0.75729,3,2,0,1
1,1.0773,3,1,0,0
NaN,-Inf,3,1,0,0
1,1.203,1,2,1,1
1,1.127,3,2,1,0
NaN,-Inf,1,2,0,0
NaN,-Inf,3,2,0,0
1,0.9568,3,1,0,0
1,1.4906,1,1,1,1
1,1.0525,1,2,0,1
1,0.84851,1,2,0,0
0,1.2346,3,2,1,1
0,1.4283,3,1,0,1
-1,-Inf,1,1,1,0
