Crt,RT,ld,dr,islongdelay,ischange
NaN,-Inf,1,2,0,0
NaN,-Inf,1,2,0,0
NaN,-Inf,3,2,1,0
0,0.97938,3,2,1,0
1,1.3737,3,1,1,0
1,1.0288,1,2,0,1
1,1.3937,1,1,1,1
NaN,-Inf,3,2,0,0
1,1.5076,1,1,0,0
0,1.9032,3,2,1,1
1,1.4814,1,1,1,0
NaN,-Inf,1,1,1,0
-1,-Inf,3,1,0,0
NaN,-Inf,1,2,0,0
NaN,-Inf,3,2,0,0
1,1.765,3,2,0,1
1,1.5332,1,1,1,1
1,1.3446,1,1,0,0
1,0.90434,1,1,0,1
1,1.4184,3,2,0,1
NaN,-Inf,3,2,0,0
1,1.5,3,2,0,0
1,1.1987,1,1,1,0
0,1.4863,3,2,1,1
NaN,-Inf,3,1,1,0
NaN,-Inf,1,1,1,0
1,1.1978,3,1,1,1
NaN,-Inf,1,1,0,0
1,1.232,1,1,0,0
1,1.5998,3,1,1,0
NaN,-Inf,3,2,0,0
1,1.224,1,1,1,0
1,1.3106,1,1,0,1
NaN,-Inf,1,2,0,0
1,1.0457,3,1,0,1
1,0.99733,3,1,0,0
NaN,-Inf,3,2,0,0
1,1.3958,1,1,1,1
1,1.015,3,2,1,0
NaN,-Inf,1,2,0,0
NaN,-Inf,3,2,0,0
1,1.5105,3,2,0,0
1,1.0505,1,1,1,1
1,1.3808,1,1,0,1
1,1.5365,1,1,0,0
1,1.2989,3,2,1,1
1,0.98848,3,2,0,1
1,1.2441,1,2,1,0
NaN,-Inf,3,1,0,0
0,1.787,3,1,0,1
1,1.2765,3,1,0,0
1,1.2031,1,2,0,0
1,1.0167,1,1,1,0
NaN,-Inf,1,1,0,0
1,1.0484,1,1,1,1
1,1.0444,3,1,1,1
1,1.082,3,1,1,0
1,1.0863,1,1,0,1
1,0.93401,1,1,1,1
NaN,-Inf,3,2,0,0
1,1.6861,3,2,1,0
1,0.86937,1,2,0,1
1,1.2922,3,2,0,1
NaN,-Inf,1,1,0,0
1,1.3372,1,2,0,0
1,1.7635,3,2,1,0
0,1.2075,3,2,1,1
1,1.0253,3,2,0,1
NaN,-Inf,1,1,0,0
1,0.96918,3,1,1,1
NaN,-Inf,3,2,1,0
NaN,-Inf,1,1,0,0
1,1.2086,1,2,1,0
1,1.1489,1,2,1,0
NaN,-Inf,3,2,0,0
NaN,-Inf,1,1,1,0
1,0.97704,1,2,1,1
1,0.92866,1,2,0,1
1,0.97644,3,1,0,0
NaN,-Inf,3,2,0,0
1,1.0623,1,1,0,0
1,0.85789,3,1,0,0
NaN,-Inf,1,1,0,0
NaN,-Inf,3,2,0,0
1,1.0363,1,2,0,0
1,0.92398,1,1,0,1
1,1.2565,1,1,1,0
1,1.3388,1,2,1,1
NaN,-Inf,1,2,0,0
1,0.93,3,2,0,0
NaN,-Inf,3,2,0,0
NaN,-Inf,1,2,1,0
1,1.5478,3,1,1,1
NaN,-Inf,3,1,1,0
1,1.4124,3,2,1,0
1,0.87324,3,1,0,1
