Crt,RT,ld,dr,islongdelay,ischange
NaN,-Inf,3,1,0,0
1,1.4691,3,2,0,1
1,1.7276,3,2,0,0
1,0.99049,1,2,0,0
1,0.93971,1,1,1,0
NaN,-Inf,1,2,0,0
0,1.1322,1,1,1,1
1,1.4475,3,2,1,1
-1,-Inf,3,2,1,0
1,1.0894,1,2,0,1
1,1.0533,1,1,1,1
NaN,-Inf,3,2,0,0
1,1.0903,3,2,1,0
0,1.2654,1,1,0,1
1,1.327,3,1,0,1
NaN,-Inf,1,2,0,0
1,1.7977,1,1,0,0
1,1.2555,3,1,1,0
1,1.6432,3,2,1,1
0,1.0368,3,2,0,1
NaN,-Inf,1,2,0,0
0,1.1191,3,2,1,1
NaN,-Inf,3,1,1,0
NaN,-Inf,1,2,0,0
1,1.045,1,2,1,0
1,0.69659,1,1,1,0
NaN,-Inf,3,1,0,0
NaN,-Inf,1,2,1,0
-1,-Inf,1,1,1,1
0,0.70795,1,2,0,1
1,1.2444,3,2,0,0
NaN,-Inf,3,1,0,0
1,1.2484,1,2,0,0
1,1.3584,3,2,0,0
NaN,-Inf,1,1,0,0
NaN,-Inf,3,2,0,0
1,0.65603,1,1,0,0
1,1.1918,1,1,0,1
1,0.93147,1,2,1,0
1,0.82795,1,1,1,1
NaN,-Inf,1,2,0,0
1,1.2832,3,1,0,0
NaN,-Inf,3,1,0,0
NaN,-Inf,1,1,1,0
0,0.94333,3,1,1,1
NaN,-Inf,3,1,1,0
1,0.90299,3,1,1,0
0,1.5807,3,1,0,1
NaN,-Inf,1,1,0,0
NaN,-Inf,1,2,0,0
NaN,-Inf,3,2,1,0
1,1.1239,3,2,1,0
1,1.0855,3,2,1,0
1,1.1397,1,2,0,1
1,1.7136,1,1,1,1
NaN,-Inf,3,1,0,0
1,1.1789,1,2,0,0
0,0.9992,3,1,1,1
1,0.92128,1,2,1,0
NaN,-Inf,1,1,1,0
1,0.96891,3,1,0,0
NaN,-Inf,1,1,0,0
NaN,-Inf,3,2,0,0
0,0.00075067,3,1,0,1
1,0.91611,1,2,1,1
1,1.3847,1,1,0,0
0,1.0082,1,1,0,1
0,1.2505,3,1,0,1
NaN,-Inf,3,2,0,0
0,1.4765,3,2,0,0
1,1.0624,1,1,1,0
0,0.82243,3,1,1,1
NaN,-Inf,3,2,1,0
NaN,-Inf,1,1,1,0
1,1.3819,3,1,1,1
NaN,-Inf,1,1,0,0
1,1.0316,1,1,0,0
1,1.4481,3,2,1,0
NaN,-Inf,3,2,0,0
1,0.59158,1,2,1,0
0,0.7171,1,1,0,1
NaN,-Inf,1,2,0,0
-1,-Inf,3,2,0,1
1,1.9572,3,1,0,0
NaN,-Inf,3,1,0,0
0,1.0752,1,2,1,1
1,0.67151,3,2,1,0
NaN,-Inf,1,2,0,0
NaN,-Inf,3,2,0,0
1,1.0846,3,1,0,0
1,0.93926,1,1,1,1
0,1.0771,1,2,0,1
1,1.193,1,2,0,0
0,1.6507,3,2,1,1
0,1.1486,3,1,0,1
1,0.70028,1,1,1,0
