Crt,RT,ld,dr,islongdelay,ischange
NaN,-Inf,3,2,0,0
1,1.202,3,2,0,1
1,0.70804,3,2,0,0
1,0.84187,1,1,0,0
1,0.74382,1,2,1,0
NaN,-Inf,1,2,0,0
1,0.86393,1,1,1,1
1,0.80371,3,2,1,1
1,1.6085,3,1,1,0
1,1.1089,1,2,0,1
1,0.88099,1,2,1,1
NaN,-Inf,3,1,0,0
1,0.99747,3,1,1,0
-1,-Inf,1,2,0,1
1,1.1152,3,1,0,1
NaN,-Inf,1,2,0,0
1,1.0175,1,2,0,0
1,1.1792,3,1,1,0
0,1.1431,3,2,1,1
0,0.96124,3,1,0,1
NaN,-Inf,1,1,0,0
1,1.4812,3,1,1,1
NaN,-Inf,3,2,1,0
NaN,-Inf,1,2,0,0
1,1.2248,1,2,1,0
1,1.1088,1,1,1,0
NaN,-Inf,3,2,0,0
NaN,-Inf,1,1,1,0
0,1.4327,1,1,1,1
1,1.2966,1,2,0,1
0,1.1839,3,1,0,0
NaN,-Inf,3,2,0,0
1,0.72429,1,2,0,0
1,1.1945,3,1,0,0
NaN,-Inf,1,1,0,0
NaN,-Inf,3,1,0,0
1,0.90854,1,1,0,0
1,1.0524,1,2,0,1
1,1.0562,1,1,1,0
1,1.0002,1,2,1,1
NaN,-Inf,1,2,0,0
1,0.93029,3,2,0,0
NaN,-Inf,3,1,0,0
NaN,-Inf,1,1,1,0
0,0.94803,3,1,1,1
NaN,-Inf,3,2,1,0
1,0.6198,3,1,1,0
0,1.3457,3,1,0,1
NaN,-Inf,1,1,0,0
NaN,-Inf,1,1,0,0
NaN,-Inf,3,2,1,0
1,0.78577,3,2,1,0
1,0.77772,3,1,1,0
1,0.99192,1,1,0,1
1,0.84571,1,1,1,1
NaN,-Inf,3,1,0,0
1,1.0159,1,1,0,0
0,0.93162,3,2,1,1
1,0.7176,1,1,1,0
NaN,-Inf,1,2,1,0
1,0.99751,3,2,0,0
NaN,-Inf,1,2,0,0
NaN,-Inf,3,1,0,0
0,1.9933,3,1,0,1
1,0.94524,1,2,1,1
1,0.70933,1,2,0,0
0,0.7093,1,1,0,1
1,1.0311,3,2,0,1
NaN,-Inf,3,2,0,0
1,1.2172,3,1,0,0
1,0.71495,1,1,1,0
1,0.65089,3,1,1,1
NaN,-Inf,3,1,1,0
NaN,-Inf,1,2,1,0
1,0.86674,3,2,1,1
NaN,-Inf,1,2,0,0
1,1.0448,1,1,0,0
1,1.2681,3,2,1,0
NaN,-Inf,3,1,0,0
1,0.90858,1,2,1,0
1,0.83448,1,2,0,1
NaN,-Inf,1,1,0,0
1,0.20248,3,1,0,1
1,1.1703,3,1,0,0
NaN,-Inf,3,2,0,0
1,0.72842,1,2,1,1
1,1.0441,3,2,1,0
NaN,-Inf,1,1,0,0
NaN,-Inf,3,2,0,0
1,0.62618,3,2,0,0
1,0.88919,1,2,1,1
-1,-Inf,1,1,0,1
1,0.69398,1,2,0,0
-1,-Inf,3,2,1,1
0,0.73788,3,1,0,1
1,0.70585,1,1,1,0
