Crt,RT,ld,dr,islongdelay,ischange
NaN,-Inf,3,2,0,0
1,1.1663,3,1,0,1
1,0.91254,3,1,0,0
1,0.91787,1,2,0,0
1,1.2765,1,2,1,0
NaN,-Inf,1,2,0,0
1,1.1477,1,1,1,1
1,1.6963,3,2,1,1
0,1.1822,3,2,1,0
1,0.87386,1,1,0,1
1,0.68565,1,2,1,1
NaN,-Inf,3,1,0,0
1,1.8175,3,2,1,0
-1,-Inf,1,2,0,1
1,0.90404,3,2,0,1
NaN,-Inf,1,2,0,0
1,1.1096,1,1,0,0
1,1.1834,3,1,1,0
1,0.73932,3,1,1,1
1,1.0536,3,2,0,1
NaN,-Inf,1,1,0,0
0,1.4453,3,2,1,1
NaN,-Inf,3,1,1,0
NaN,-Inf,1,2,0,0
1,1.0609,1,1,1,0
1,0.91307,1,2,1,0
NaN,-Inf,3,1,0,0
NaN,-Inf,1,2,1,0
1,1.2928,1,1,1,1
1,1.2529,1,1,0,1
1,1.2051,3,1,0,0
NaN,-Inf,3,1,0,0
1,1.0895,1,1,0,0
1,1.3909,3,2,0,0
NaN,-Inf,1,2,0,0
NaN,-Inf,3,1,0,0
1,0.91232,1,1,0,0
1,1.0004,1,2,0,1
1,1.0444,1,1,1,0
1,0.82035,1,2,1,1
NaN,-Inf,1,2,0,0
1,1.4362,3,2,0,0
NaN,-Inf,3,2,0,0
NaN,-Inf,1,1,1,0
0,1.7119,3,1,1,1
NaN,-Inf,3,1,1,0
1,1.0484,3,1,1,0
1,1.2457,3,2,0,1
NaN,-Inf,1,1,0,0
NaN,-Inf,1,2,0,0
NaN,-Inf,3,1,1,0
1,1.5154,3,2,1,0
1,1.2858,3,2,1,0
1,0.7632,1,2,0,1
0,1.1376,1,1,1,1
NaN,-Inf,3,1,0,0
1,0.8356,1,2,0,0
1,1.399,3,2,1,1
1,0.97699,1,2,1,0
NaN,-Inf,1,1,1,0
1,1.0411,3,2,0,0
NaN,-Inf,1,2,0,0
NaN,-Inf,3,2,0,0
1,1.0368,3,1,0,1
-1,-Inf,1,2,1,1
1,1.3616,1,2,0,0
1,0.8568,1,1,0,1
1,0.75739,3,1,0,1
NaN,-Inf,3,1,0,0
1,1.4687,3,1,0,0
1,1.2626,1,1,1,0
0,1.3822,3,1,1,1
NaN,-Inf,3,1,1,0
NaN,-Inf,1,1,1,0
1,1.2067,3,1,1,1
NaN,-Inf,1,1,0,0
1,1.0167,1,2,0,0
0,1.4807,3,2,1,0
NaN,-Inf,3,2,0,0
1,1.0564,1,1,1,0
1,0.70234,1,2,0,1
NaN,-Inf,1,2,0,0
1,1.2621,3,2,0,1
1,1.0391,3,1,0,0
NaN,-Inf,3,2,0,0
1,0.69185,1,1,1,1
1,1.5035,3,2,1,0
NaN,-Inf,1,1,0,0
NaN,-Inf,3,1,0,0
1,1.2225,3,2,0,0
1,0.85999,1,1,1,1
1,0.67021,1,2,0,1
1,0.46537,1,2,0,0
1,1.3179,3,1,1,1
1,0.80556,3,1,0,1
1,1.2051,1,2,1,0
