Crt,RT,ld,dr,islongdelay,ischange
NaN,-Inf,1,1,0,0
NaN,-Inf,1,2,0,0
NaN,-Inf,3,1,1,0
-1,-Inf,3,2,1,0
1,0.91742,3,1,1,0
1,0.97921,1,2,0,1
1,0.84109,1,1,1,1
NaN,-Inf,3,2,0,0
1,1.531,1,1,0,0
1,1.095,3,2,1,1
1,0.9449,1,1,1,0
NaN,-Inf,1,1,1,0
1,1.2009,3,2,0,0
NaN,-Inf,1,2,0,0
NaN,-Inf,3,1,0,0
0,0.81272,3,2,0,1
1,1.0925,1,1,1,1
1,1.0084,1,2,0,0
1,1.3129,1,2,0,1
1,0.84223,3,2,0,1
NaN,-Inf,3,2,0,0
1,1.1881,3,1,0,0
1,0.94205,1,2,1,0
1,0.95,3,2,1,1
NaN,-Inf,3,1,1,0
NaN,-Inf,1,1,1,0
1,0.91781,3,1,1,1
NaN,-Inf,1,1,0,0
1,1.2157,1,2,0,0
1,1.0476,3,2,1,0
NaN,-Inf,3,2,0,0
1,0.8074,1,2,1,0
1,1.0133,1,2,0,1
NaN,-Inf,1,2,0,0
1,0.87733,3,1,0,1
1,1.0153,3,1,0,0
NaN,-Inf,3,1,0,0
1,0.8591,1,1,1,1
1,1.439,3,2,1,0
NaN,-Inf,1,1,0,0
NaN,-Inf,3,1,0,0
-1,-Inf,3,1,0,0
1,0.93866,1,1,1,1
0,1.0126,1,2,0,1
1,0.9614,1,1,0,0
1,0.7625,3,2,1,1
1,0.98043,3,2,0,1
1,0.72443,1,1,1,0
NaN,-Inf,3,2,0,0
1,0.74166,3,2,0,1
1,0.84765,3,2,0,0
1,0.78155,1,1,0,0
1,0.75552,1,1,1,0
NaN,-Inf,1,2,0,0
1,1.3155,1,1,1,1
1,0.89531,3,1,1,1
1,0.99733,3,1,1,0
1,1.6013,1,2,0,1
1,0.80514,1,1,1,1
NaN,-Inf,3,1,0,0
-1,-Inf,3,2,1,0
-1,-Inf,1,1,0,1
0,0.83078,3,1,0,1
NaN,-Inf,1,2,0,0
1,0.84472,1,1,0,0
1,0.86256,3,1,1,0
0,1.0744,3,1,1,1
-1,-Inf,3,2,0,1
NaN,-Inf,1,2,0,0
0,0.8043,3,2,1,1
NaN,-Inf,3,1,1,0
NaN,-Inf,1,2,0,0
1,0.55612,1,1,1,0
1,1.328,1,1,1,0
NaN,-Inf,3,1,0,0
NaN,-Inf,1,2,1,0
1,0.97977,1,1,1,1
1,0.79559,1,1,0,1
1,1.1876,3,2,0,0
NaN,-Inf,3,1,0,0
1,0.65556,1,1,0,0
1,0.86144,3,1,0,0
NaN,-Inf,1,2,0,0
NaN,-Inf,3,2,0,0
1,0.73534,1,2,0,0
1,0.80655,1,2,0,1
1,0.84284,1,2,1,0
1,1.1151,1,1,1,1
NaN,-Inf,1,2,0,0
1,0.94717,3,2,0,0
NaN,-Inf,3,1,0,0
NaN,-Inf,1,2,1,0
1,0.91075,3,1,1,1
NaN,-Inf,3,2,1,0
1,0.94204,3,2,1,0
1,0.86115,3,2,0,1
