Crt,RT,ld,dr,islongdelay,ischange
NaN,-Inf,3,2,0,0
1,0.11006,3,2,0,1
1,0.99911,3,2,0,0
1,1.3659,1,2,0,0
1,1.42,1,1,1,0
NaN,-Inf,1,2,0,0
1,1.0755,1,1,1,1
1,1.1915,3,2,1,1
1,1.1433,3,1,1,0
-1,-Inf,1,2,0,1
1,1.0694,1,1,1,1
NaN,-Inf,3,1,0,0
1,1.1451,3,1,1,0
1,1.1366,1,2,0,1
1,1.6307,3,2,0,1
NaN,-Inf,1,2,0,0
1,1.1888,1,1,0,0
1,0.83746,3,1,1,0
0,1.8188,3,1,1,1
0,1.3246,3,2,0,1
NaN,-Inf,1,2,0,0
-1,-Inf,3,2,1,1
NaN,-Inf,3,1,1,0
NaN,-Inf,1,2,0,0
1,0.75596,1,1,1,0
1,0.88025,1,1,1,0
NaN,-Inf,3,1,0,0
NaN,-Inf,1,1,1,0
1,1.4597,1,1,1,1
1,1.3474,1,1,0,1
1,1.6518,3,2,0,0
NaN,-Inf,3,1,0,0
1,1.3026,1,1,0,0
1,0.96496,3,2,0,0
NaN,-Inf,1,1,0,0
NaN,-Inf,3,1,0,0
1,0.91942,1,2,0,0
1,1.1192,1,1,0,1
1,1.0573,1,2,1,0
1,1.3612,1,2,1,1
NaN,-Inf,1,2,0,0
1,0.77065,3,2,0,0
NaN,-Inf,3,1,0,0
NaN,-Inf,1,1,1,0
1,1.2306,3,1,1,1
NaN,-Inf,3,2,1,0
1,0.92909,3,2,1,0
0,0.94028,3,2,0,1
NaN,-Inf,1,2,0,0
NaN,-Inf,1,2,0,0
NaN,-Inf,3,1,1,0
1,1.7157,3,2,1,0
1,1.0781,3,2,1,0
1,1.7394,1,2,0,1
1,1.3374,1,2,1,1
NaN,-Inf,3,2,0,0
1,0.97158,1,2,0,0
0,0.9276,3,2,1,1
1,0.92934,1,1,1,0
NaN,-Inf,1,1,1,0
1,0.88153,3,1,0,0
NaN,-Inf,1,1,0,0
NaN,-Inf,3,2,0,0
0,0.89269,3,1,0,1
1,1.1569,1,1,1,1
1,0.78479,1,1,0,0
1,1.8892,1,2,0,1
0,0.94629,3,2,0,1
NaN,-Inf,3,1,0,0
1,1.7005,3,2,0,0
-1,-Inf,1,2,1,0
0,0.91824,3,1,1,1
NaN,-Inf,3,1,1,0
NaN,-Inf,1,2,1,0
0,1.4624,3,1,1,1
NaN,-Inf,1,1,0,0
-1,-Inf,1,2,0,0
1,1.5837,3,1,1,0
NaN,-Inf,3,2,0,0
-1,-Inf,1,2,1,0
1,1.0456,1,1,0,1
NaN,-Inf,1,2,0,0
1,1.3739,3,2,0,1
0,1.3098,3,2,0,0
NaN,-Inf,3,1,0,0
1,1.1797,1,1,1,1
1,1.3431,3,2,1,0
NaN,-Inf,1,2,0,0
NaN,-Inf,3,1,0,0
1,1.2477,3,1,0,0
-1,-Inf,1,1,1,1
-1,-Inf,1,1,0,1
1,0.82538,1,1,0,0
1,1.9872,3,2,1,1
0,1.1092,3,1,0,1
1,1.1325,1,1,1,0
