Crt,RT,ld,dr,islongdelay,ischange
NaN,-Inf,1,1,0,0
NaN,-Inf,1,1,0,0
NaN,-Inf,3,2,1,0
-1,-Inf,3,1,1,0
1,1.6537,3,2,1,0
-1,-Inf,1,1,0,1
1,1.6976,1,1,1,1
NaN,-Inf,3,2,0,0
1,1.3956,1,2,0,0
1,1.2149,3,2,1,1
-1,-Inf,1,2,1,0
NaN,-Inf,1,1,1,0
1,1.4733,3,2,0,0
NaN,-Inf,1,2,0,0
NaN,-Inf,3,2,0,0
-1,-Inf,3,1,0,1
-1,-Inf,1,1,1,1
0,1.2654,1,2,0,0
0,1.7692,1,2,0,1
0,1.5947,3,1,0,1
NaN,-Inf,3,2,0,0
1,1.2768,3,1,0,0
1,1.1026,1,2,1,0
0,1.0068,3,1,1,1
NaN,-Inf,3,1,1,0
NaN,-Inf,1,1,1,0
-1,-Inf,3,2,1,1
NaN,-Inf,1,1,0,0
1,1.1608,1,2,0,0
1,0.9281,3,2,1,0
NaN,-Inf,3,1,0,0
1,1.6959,1,1,1,0
1,1.2624,1,2,0,1
NaN,-Inf,1,2,0,0
0,1.8936,3,2,0,1
1,1.1583,3,1,0,0
NaN,-Inf,3,1,0,0
1,0.21984,1,1,1,1
1,1.5524,3,1,1,0
NaN,-Inf,1,2,0,0
NaN,-Inf,3,2,0,0
1,1.4222,3,2,0,0
0,1.4682,1,2,1,1
-1,-Inf,1,1,0,1
1,1.1535,1,1,0,0
1,1.4274,3,2,1,1
-1,-Inf,3,1,0,1
1,1.2058,1,1,1,0
NaN,-Inf,3,1,0,0
0,1.8939,3,2,0,1
0,1.1919,3,2,0,0
1,1.5904,1,2,0,0
-1,-Inf,1,2,1,0
NaN,-Inf,1,2,0,0
-1,-Inf,1,1,1,1
1,1.4081,3,1,1,1
1,1.7421,3,1,1,0
1,1.3856,1,2,0,1
1,1.262,1,2,1,1
NaN,-Inf,3,1,0,0
1,1.5292,3,1,1,0
1,1.2975,1,2,0,1
1,1.415,3,1,0,1
NaN,-Inf,1,2,0,0
-1,-Inf,1,1,0,0
1,1.4072,3,1,1,0
-1,-Inf,3,2,1,1
-1,-Inf,3,2,0,1
NaN,-Inf,1,1,0,0
0,1.8127,3,2,1,1
NaN,-Inf,3,1,1,0
NaN,-Inf,1,2,0,0
1,1.4769,1,2,1,0
1,1.0579,1,2,1,0
NaN,-Inf,3,2,0,0
NaN,-Inf,1,2,1,0
1,0.96511,1,1,1,1
1,1.0052,1,1,0,1
1,1.0845,3,1,0,0
NaN,-Inf,3,2,0,0
1,1.8642,1,1,0,0
1,0.88685,3,2,0,0
NaN,-Inf,1,1,0,0
NaN,-Inf,3,2,0,0
1,1.6963,1,2,0,0
-1,-Inf,1,1,0,1
1,1.7488,1,1,1,0
0,1.3803,1,2,1,1
NaN,-Inf,1,1,0,0
-1,-Inf,3,1,0,0
NaN,-Inf,3,1,0,0
NaN,-Inf,1,1,1,0
0,1.1919,3,2,1,1
NaN,-Inf,3,1,1,0
1,1.3843,3,2,1,0
-1,-Inf,3,1,0,1
