RT,Crt,trltp,shrink,iscong,trgtside,crtdir
-Inf,NaN,0,0.5,0,2,NaN
0.85973,1,2,0.5,1,1,1
0.60969,1,2,0.5,0,1,2
-Inf,NaN,2,0.5,0,2,NaN
0.53767,1,2,0.5,0,2,1
-Inf,NaN,0,0.5,0,1,NaN
0.58617,1,2,0.5,1,2,2
0.52592,1,2,0.5,1,2,2
0.51412,1,2,0.5,1,2,2
0.54745,1,2,0.5,1,2,2
0.55025,1,2,0.5,0,2,1
0.55988,1,2,0.5,0,2,1
-Inf,NaN,0,0.5,0,1,NaN
-Inf,NaN,2,0.5,0,2,NaN
0.55794,1,2,0.5,0,1,2
0.58929,1,2,0.5,1,1,1
0.61102,1,2,0.5,0,1,2
0.49377,1,2,0.5,1,1,1
0.5075,1,2,0.5,0,1,2
0.44972,1,2,0.5,0,1,2
-Inf,NaN,0,0.5,0,2,NaN
-Inf,NaN,2,0.5,0,1,NaN
-Inf,NaN,2,0.5,0,1,NaN
0.50686,1,2,0.5,1,1,1
-Inf,NaN,0,0.5,0,1,NaN
0.45971,1,3,0.5,0,2,1
0.40563,1,3,0.5,0,2,1
0.4292,1,3,0.5,0,2,1
0.50671,1,3,0.5,0,1,2
0.49835,1,3,0.5,1,2,2
-Inf,NaN,3,0.5,0,2,NaN
-Inf,NaN,0,0.5,0,2,NaN
0.50109,1,3,0.5,0,2,1
0.51324,1,3,0.5,1,2,2
-Inf,NaN,0,0.5,0,2,NaN
0.57189,1,3,0.5,1,1,1
0.49307,1,3,0.5,0,2,1
-Inf,NaN,0,0.5,0,1,NaN
0.69496,1,3,0.5,0,1,2
0.56253,1,3,0.5,1,1,1
0.46692,1,3,0.5,1,2,2
0.50414,1,3,0.5,1,1,1
0.50413,1,3,0.5,1,2,2
0.54661,1,3,0.5,1,1,1
-Inf,NaN,3,0.5,0,2,NaN
-Inf,NaN,3,0.5,0,1,NaN
-Inf,NaN,3,0.5,0,2,NaN
0.48053,1,3,0.5,0,1,2
0.71077,1,1,0.5,0,2,1
0.51288,1,1,0.5,1,1,1
-Inf,NaN,1,0.5,0,1,NaN
0.47631,1,1,0.5,0,1,2
0.50837,1,1,0.5,1,1,1
0.61672,1,1,0.5,1,1,1
0.54225,1,1,0.5,0,2,1
-Inf,NaN,0,0.5,0,1,NaN
-Inf,NaN,0,0.5,0,2,NaN
-Inf,NaN,0,0.5,0,1,NaN
0.66393,1,1,0.5,1,2,2
0.46861,1,1,0.5,0,2,1
