Crt,RT,ld,dr,islongdelay,ischange
NaN,-Inf,1,2,0,0
NaN,-Inf,1,2,0,0
NaN,-Inf,3,2,1,0
0,1.7154,3,2,1,0
1,0.99705,3,1,1,0
1,0.95569,1,2,0,1
1,0.85701,1,1,1,1
NaN,-Inf,3,2,0,0
1,1.083,1,1,0,0
1,0.86305,3,2,1,1
1,1.0813,1,1,1,0
NaN,-Inf,1,1,1,0
1,1.1922,3,1,0,0
NaN,-Inf,1,2,0,0
NaN,-Inf,3,2,0,0
1,1.357,3,2,0,1
1,0.98891,1,1,1,1
1,0.84876,1,1,0,0
1,0.75203,1,1,0,1
1,0.93845,3,2,0,1
NaN,-Inf,3,2,0,0
1,0.93201,3,2,0,0
1,0.90253,1,1,1,0
1,1.8537,3,2,1,1
NaN,-Inf,3,1,1,0
NaN,-Inf,1,1,1,0
1,1.2617,3,1,1,1
NaN,-Inf,1,1,0,0
1,0.84759,1,1,0,0
1,1.6231,3,1,1,0
NaN,-Inf,3,2,0,0
1,0.86376,1,1,1,0
1,0.93327,1,1,0,1
NaN,-Inf,1,2,0,0
1,1.0296,3,1,0,1
1,0.97346,3,1,0,0
NaN,-Inf,3,2,0,0
1,1.2593,1,1,1,1
1,0.89499,3,2,1,0
NaN,-Inf,1,2,0,0
NaN,-Inf,3,2,0,0
1,1.0599,3,2,0,0
1,1.5147,1,1,1,1
1,0.8775,1,1,0,1
1,0.94417,1,1,0,0
1,1.9548,3,2,1,1
1,1.1088,3,2,0,1
1,1.2044,1,2,1,0
NaN,-Inf,3,1,0,0
1,1.2464,3,1,0,1
1,0.85279,3,1,0,0
1,1.1465,1,2,0,0
1,0.66454,1,1,1,0
NaN,-Inf,1,1,0,0
1,0.93621,1,1,1,1
1,1.9005,3,1,1,1
-1,-Inf,3,1,1,0
1,0.86983,1,1,0,1
1,1.0655,1,1,1,1
NaN,-Inf,3,2,0,0
1,0.9574,3,2,1,0
1,0.98213,1,2,0,1
1,0.93201,3,2,0,1
NaN,-Inf,1,1,0,0
1,0.70586,1,2,0,0
-1,-Inf,3,2,1,0
1,1.5753,3,2,1,1
1,0.95347,3,2,0,1
NaN,-Inf,1,1,0,0
1,0.92946,3,1,1,1
NaN,-Inf,3,2,1,0
NaN,-Inf,1,1,0,0
1,0.96125,1,2,1,0
1,0.77253,1,2,1,0
NaN,-Inf,3,2,0,0
NaN,-Inf,1,1,1,0
1,1.657,1,2,1,1
1,1.9445,1,2,0,1
1,1.6563,3,1,0,0
NaN,-Inf,3,2,0,0
1,0.78017,1,1,0,0
1,1.1618,3,1,0,0
NaN,-Inf,1,1,0,0
NaN,-Inf,3,2,0,0
1,0.71668,1,2,0,0
1,0.83609,1,1,0,1
1,1.1763,1,1,1,0
1,0.73518,1,2,1,1
NaN,-Inf,1,2,0,0
1,0.92864,3,2,0,0
NaN,-Inf,3,2,0,0
NaN,-Inf,1,2,1,0
1,0.96342,3,1,1,1
NaN,-Inf,3,1,1,0
1,0.89897,3,2,1,0
1,1.089,3,1,0,1
