Crt,RT,ld,dr,islongdelay,ischange
NaN,-Inf,1,2,0,0
NaN,-Inf,1,2,0,0
NaN,-Inf,3,1,1,0
0,0.91163,3,2,1,0
0,0.85748,3,2,1,0
1,0.7599,1,2,0,1
1,0.67107,1,1,1,1
NaN,-Inf,3,2,0,0
1,1.1517,1,1,0,0
0,1.0515,3,2,1,1
1,0.91751,1,1,1,0
NaN,-Inf,1,2,1,0
1,0.84527,3,2,0,0
NaN,-Inf,1,1,0,0
NaN,-Inf,3,2,0,0
1,0.77729,3,2,0,1
1,0.6412,1,1,1,1
1,0.83719,1,1,0,0
1,0.94919,1,2,0,1
0,0.94304,3,1,0,1
NaN,-Inf,3,1,0,0
1,0.82509,3,2,0,0
1,0.52299,1,1,1,0
1,0.81885,3,2,1,1
NaN,-Inf,3,2,1,0
NaN,-Inf,1,1,1,0
1,1.3147,3,2,1,1
NaN,-Inf,1,1,0,0
1,0.80474,1,2,0,0
1,0.7566,3,1,1,0
NaN,-Inf,3,1,0,0
1,0.52446,1,2,1,0
1,0.64251,1,2,0,1
NaN,-Inf,1,2,0,0
1,0.80935,3,2,0,1
1,0.82619,3,1,0,0
NaN,-Inf,3,1,0,0
1,0.68837,1,2,1,1
1,1.6761,3,1,1,0
NaN,-Inf,1,1,0,0
NaN,-Inf,3,2,0,0
1,0.87403,3,2,0,0
1,1.6319,1,1,1,1
1,1.8099,1,1,0,1
1,1.0139,1,1,0,0
1,1.688,3,1,1,1
1,0.81789,3,1,0,1
1,0.56186,1,1,1,0
NaN,-Inf,3,2,0,0
0,0.61785,3,1,0,1
1,0.75589,3,2,0,0
1,0.75288,1,1,0,0
1,0.78317,1,1,1,0
NaN,-Inf,1,2,0,0
-1,-Inf,1,2,1,1
1,0.8436,3,1,1,1
1,0.71383,3,2,1,0
1,0.83761,1,2,0,1
1,0.69767,1,1,1,1
NaN,-Inf,3,2,0,0
0,0.7174,3,1,1,0
1,1.6214,1,1,0,1
1,0.99438,3,2,0,1
NaN,-Inf,1,1,0,0
1,0.59329,1,1,0,0
1,1.2913,3,1,1,0
1,1.9271,3,1,1,1
-1,-Inf,3,2,0,1
NaN,-Inf,1,1,0,0
1,1.201,3,2,1,1
NaN,-Inf,3,2,1,0
NaN,-Inf,1,1,0,0
1,0.729,1,1,1,0
1,0.7243,1,1,1,0
NaN,-Inf,3,2,0,0
NaN,-Inf,1,2,1,0
1,0.62464,1,2,1,1
0,0.96073,1,1,0,1
1,0.78468,3,1,0,0
NaN,-Inf,3,2,0,0
1,0.6447,1,2,0,0
1,0.61844,3,2,0,0
NaN,-Inf,1,1,0,0
NaN,-Inf,3,2,0,0
1,0.75654,1,1,0,0
1,0.70037,1,2,0,1
1,0.8164,1,2,1,0
1,0.64025,1,2,1,1
NaN,-Inf,1,1,0,0
1,0.67216,3,2,0,0
NaN,-Inf,3,2,0,0
NaN,-Inf,1,1,1,0
1,1.3638,3,1,1,1
NaN,-Inf,3,1,1,0
1,1.2599,3,2,1,0
1,0.81699,3,1,0,1
