Crt,RT,ld,dr,islongdelay,ischange
NaN,-Inf,3,2,0,0
1,0.27809,3,2,0,1
1,1.4236,3,2,0,0
0,1.4865,1,2,0,0
-1,-Inf,1,1,1,0
NaN,-Inf,1,2,0,0
-1,-Inf,1,1,1,1
1,1.608,3,2,1,1
1,0.99767,3,1,1,0
1,1.6255,1,2,0,1
-1,-Inf,1,1,1,1
NaN,-Inf,3,1,0,0
-1,-Inf,3,1,1,0
1,1.1378,1,2,0,1
1,1.1033,3,2,0,1
NaN,-Inf,1,2,0,0
-1,-Inf,1,1,0,0
0,1.687,3,1,1,0
0,1.2035,3,1,1,1
-1,-Inf,3,2,0,1
NaN,-Inf,1,2,0,0
-1,-Inf,3,2,1,1
NaN,-Inf,3,1,1,0
NaN,-Inf,1,2,0,0
-1,-Inf,1,1,1,0
0,1.5125,1,1,1,0
NaN,-Inf,3,1,0,0
NaN,-Inf,1,1,1,0
-1,-Inf,1,1,1,1
1,0.11685,1,1,0,1
1,1.5091,3,2,0,0
NaN,-Inf,3,1,0,0
1,1.1289,1,1,0,0
1,0.9265,3,2,0,0
NaN,-Inf,1,1,0,0
NaN,-Inf,3,1,0,0
1,1.1762,1,2,0,0
1,1.6164,1,1,0,1
1,0.95689,1,2,1,0
1,1.2442,1,2,1,1
NaN,-Inf,1,2,0,0
1,1.2766,3,2,0,0
NaN,-Inf,3,1,0,0
NaN,-Inf,1,1,1,0
0,1.7201,3,1,1,1
NaN,-Inf,3,2,1,0
-1,-Inf,3,2,1,0
0,1.2783,3,2,0,1
NaN,-Inf,1,2,0,0
NaN,-Inf,1,2,0,0
NaN,-Inf,3,1,1,0
-1,-Inf,3,2,1,0
-1,-Inf,3,2,1,0
1,1.1478,1,2,0,1
1,0.96172,1,2,1,1
NaN,-Inf,3,2,0,0
1,1.268,1,2,0,0
-1,-Inf,3,2,1,1
0,1.3374,1,1,1,0
NaN,-Inf,1,1,1,0
1,0.94564,3,1,0,0
NaN,-Inf,1,1,0,0
NaN,-Inf,3,2,0,0
1,0.00074682,3,1,0,1
1,0.9729,1,1,1,1
1,0.89703,1,1,0,0
1,1.1532,1,2,0,1
1,1.8753,3,2,0,1
NaN,-Inf,3,1,0,0
1,1.0851,3,2,0,0
1,1.9264,1,2,1,0
-1,-Inf,3,1,1,1
NaN,-Inf,3,1,1,0
NaN,-Inf,1,2,1,0
-1,-Inf,3,1,1,1
NaN,-Inf,1,1,0,0
1,1.825,1,2,0,0
0,1.6328,3,1,1,0
NaN,-Inf,3,2,0,0
1,1.0884,1,2,1,0
1,1.0064,1,1,0,1
NaN,-Inf,1,2,0,0
1,0.95777,3,2,0,1
0,1.2462,3,2,0,0
NaN,-Inf,3,1,0,0
1,0.72418,1,1,1,1
-1,-Inf,3,2,1,0
NaN,-Inf,1,2,0,0
NaN,-Inf,3,1,0,0
1,1.1342,3,1,0,0
0,0.99637,1,1,1,1
1,0.90881,1,1,0,1
1,0.7856,1,1,0,0
0,1.9478,3,2,1,1
1,0.82214,3,1,0,1
1,0.86933,1,1,1,0
