Crt,RT,ld,dr,islongdelay,ischange
NaN,-Inf,1,2,0,0
NaN,-Inf,1,2,0,0
NaN,-Inf,3,2,1,0
1,1.5363,3,2,1,0
-1,-Inf,3,1,1,0
1,1.3765,1,2,0,1
-1,-Inf,1,1,1,1
NaN,-Inf,3,2,0,0
1,1.5928,1,1,0,0
-1,-Inf,3,2,1,1
1,0.79041,1,1,1,0
NaN,-Inf,1,1,1,0
1,1.0941,3,1,0,0
NaN,-Inf,1,2,0,0
NaN,-Inf,3,2,0,0
1,1.9058,3,2,0,1
1,1.5058,1,1,1,1
1,1.6617,1,1,0,0
-1,-Inf,1,1,0,1
0,1.5438,3,2,0,1
NaN,-Inf,3,2,0,0
1,1.4498,3,2,0,0
1,1.2033,1,1,1,0
0,1.5237,3,2,1,1
NaN,-Inf,3,1,1,0
NaN,-Inf,1,1,1,0
-1,-Inf,3,1,1,1
NaN,-Inf,1,1,0,0
1,0.94952,1,1,0,0
1,1.4131,3,1,1,0
NaN,-Inf,3,2,0,0
1,0.85358,1,1,1,0
1,1.1552,1,1,0,1
NaN,-Inf,1,2,0,0
1,1.4672,3,1,0,1
1,1.3077,3,1,0,0
NaN,-Inf,3,2,0,0
1,1.1294,1,1,1,1
1,1.3652,3,2,1,0
NaN,-Inf,1,2,0,0
NaN,-Inf,3,2,0,0
1,1.0746,3,2,0,0
1,1.377,1,1,1,1
1,1.0667,1,1,0,1
1,1.2867,1,1,0,0
1,1.5287,3,2,1,1
1,1.4989,3,2,0,1
1,1.7386,1,2,1,0
NaN,-Inf,3,1,0,0
0,1.4181,3,1,0,1
1,1.0357,3,1,0,0
1,0.89757,1,2,0,0
1,1.0477,1,1,1,0
NaN,-Inf,1,1,0,0
1,0.93606,1,1,1,1
1,1.1704,3,1,1,1
1,1.897,3,1,1,0
1,1.2618,1,1,0,1
1,1.0487,1,1,1,1
NaN,-Inf,3,2,0,0
1,1.4696,3,2,1,0
1,1.1973,1,2,0,1
1,1.5635,3,2,0,1
NaN,-Inf,1,1,0,0
1,1.2258,1,2,0,0
1,1.0668,3,2,1,0
1,1.6715,3,2,1,1
1,1.4656,3,2,0,1
NaN,-Inf,1,1,0,0
-1,-Inf,3,1,1,1
NaN,-Inf,3,2,1,0
NaN,-Inf,1,1,0,0
1,1.0813,1,2,1,0
1,1.0047,1,2,1,0
NaN,-Inf,3,2,0,0
NaN,-Inf,1,1,1,0
1,1.401,1,2,1,1
1,0.99243,1,2,0,1
1,0.99158,3,1,0,0
NaN,-Inf,3,2,0,0
1,1.5875,1,1,0,0
1,1.2427,3,1,0,0
NaN,-Inf,1,1,0,0
NaN,-Inf,3,2,0,0
1,1.2207,1,2,0,0
1,1.1321,1,1,0,1
1,1.1679,1,1,1,0
1,0.85589,1,2,1,1
NaN,-Inf,1,2,0,0
1,1.336,3,2,0,0
NaN,-Inf,3,2,0,0
NaN,-Inf,1,2,1,0
1,1.9477,3,1,1,1
NaN,-Inf,3,1,1,0
1,1.7161,3,2,1,0
1,1.2654,3,1,0,1
