Crt,RT,ld,dr,islongdelay,ischange
NaN,-Inf,1,1,0,0
NaN,-Inf,1,1,0,0
NaN,-Inf,4,2,1,0
-1,-Inf,4,1,1,0
-1,-Inf,4,1,1,0
1,0.93144,1,1,0,1
1,0.92134,1,2,1,1
NaN,-Inf,4,2,0,0
-1,-Inf,1,2,0,0
0,0.95914,4,1,1,1
-1,-Inf,1,2,1,0
NaN,-Inf,1,1,1,0
1,0.74497,4,2,0,0
NaN,-Inf,1,2,0,0
NaN,-Inf,4,1,0,0
0,0.62088,4,1,0,1
-1,-Inf,1,1,1,1
-1,-Inf,1,2,0,0
1,0.76056,1,2,0,1
1,0.94554,4,2,0,1
NaN,-Inf,4,1,0,0
0,0.9723,4,1,0,0
-1,-Inf,1,2,1,0
-1,-Inf,4,1,1,1
NaN,-Inf,4,1,1,0
NaN,-Inf,1,2,1,0
-1,-Inf,4,2,1,1
NaN,-Inf,1,2,0,0
-1,-Inf,1,1,0,0
-1,-Inf,4,2,1,0
NaN,-Inf,4,1,0,0
-1,-Inf,1,2,1,0
-1,-Inf,1,1,0,1
NaN,-Inf,1,2,0,0
-1,-Inf,4,2,0,1
1,0.87736,4,1,0,0
NaN,-Inf,4,2,0,0
-1,-Inf,1,2,1,1
-1,-Inf,4,1,1,0
NaN,-Inf,1,1,0,0
NaN,-Inf,4,2,0,0
-1,-Inf,4,2,0,0
1,0.9228,1,2,1,1
-1,-Inf,1,1,0,1
-1,-Inf,1,1,0,0
-1,-Inf,4,1,1,1
1,0.86247,4,2,0,1
-1,-Inf,1,1,1,0
NaN,-Inf,4,2,0,0
-1,-Inf,4,2,0,1
1,0.72757,4,2,0,0
-1,-Inf,1,2,0,0
1,0.76346,1,1,1,0
NaN,-Inf,1,2,0,0
-1,-Inf,1,1,1,1
-1,-Inf,4,1,1,1
1,0.86912,4,2,1,0
1,0.817,1,2,0,1
1,0.94983,1,1,1,1
NaN,-Inf,4,2,0,0
1,0.96075,4,1,1,0
-1,-Inf,1,2,0,1
1,0.94262,4,2,0,1
NaN,-Inf,1,2,0,0
-1,-Inf,1,1,0,0
-1,-Inf,4,1,1,0
-1,-Inf,4,1,1,1
0,0.51604,4,1,0,1
NaN,-Inf,1,2,0,0
-1,-Inf,4,2,1,1
NaN,-Inf,4,2,1,0
NaN,-Inf,1,2,0,0
-1,-Inf,1,2,1,0
-1,-Inf,1,1,1,0
NaN,-Inf,4,1,0,0
NaN,-Inf,1,1,1,0
-1,-Inf,1,1,1,1
-1,-Inf,1,2,0,1
1,0.72344,4,1,0,0
NaN,-Inf,4,1,0,0
-1,-Inf,1,2,0,0
1,0.50929,4,1,0,0
NaN,-Inf,1,2,0,0
NaN,-Inf,4,2,0,0
-1,-Inf,1,2,0,0
-1,-Inf,1,1,0,1
-1,-Inf,1,1,1,0
-1,-Inf,1,2,1,1
NaN,-Inf,1,2,0,0
-1,-Inf,4,1,0,0
NaN,-Inf,4,2,0,0
NaN,-Inf,1,1,1,0
-1,-Inf,4,1,1,1
NaN,-Inf,4,1,1,0
1,0.66236,4,1,1,0
0,0.67633,4,1,0,1
