Crt,RT,ld,dr,islongdelay,ischange
NaN,-Inf,3,1,0,0
0,0.35976,3,2,0,1
0,1.3353,3,2,0,0
1,0.86995,1,2,0,0
1,0.7715,1,1,1,0
NaN,-Inf,1,2,0,0
1,0.90771,1,1,1,1
1,0.832,3,2,1,1
1,0.69363,3,2,1,0
1,1.1059,1,2,0,1
1,0.57343,1,1,1,1
NaN,-Inf,3,2,0,0
1,0.84176,3,2,1,0
1,0.91304,1,1,0,1
1,0.90355,3,1,0,1
NaN,-Inf,1,2,0,0
1,1.0534,1,1,0,0
1,0.72741,3,1,1,0
0,0.83536,3,2,1,1
1,1.0441,3,2,0,1
NaN,-Inf,1,2,0,0
0,0.82939,3,2,1,1
NaN,-Inf,3,1,1,0
NaN,-Inf,1,2,0,0
1,0.85241,1,2,1,0
1,0.74489,1,1,1,0
NaN,-Inf,3,1,0,0
NaN,-Inf,1,2,1,0
1,0.9322,1,1,1,1
1,0.88397,1,2,0,1
1,0.73241,3,2,0,0
NaN,-Inf,3,1,0,0
1,0.67223,1,2,0,0
1,0.6707,3,2,0,0
NaN,-Inf,1,1,0,0
NaN,-Inf,3,2,0,0
1,0.81589,1,1,0,0
1,0.64052,1,1,0,1
1,0.73237,1,2,1,0
1,0.75635,1,1,1,1
NaN,-Inf,1,2,0,0
1,0.66014,3,1,0,0
NaN,-Inf,3,1,0,0
NaN,-Inf,1,1,1,0
1,0.87225,3,1,1,1
NaN,-Inf,3,1,1,0
1,0.70417,3,1,1,0
1,0.67773,3,1,0,1
NaN,-Inf,1,1,0,0
NaN,-Inf,1,2,0,0
NaN,-Inf,3,2,1,0
1,0.708,3,2,1,0
1,0.72568,3,2,1,0
1,0.60367,1,2,0,1
1,0.69807,1,1,1,1
NaN,-Inf,3,1,0,0
1,0.68335,1,2,0,0
0,0.74344,3,1,1,1
1,0.53736,1,2,1,0
NaN,-Inf,1,1,1,0
1,0.68121,3,1,0,0
NaN,-Inf,1,1,0,0
NaN,-Inf,3,2,0,0
1,0.83745,3,1,0,1
1,0.89357,1,2,1,1
1,0.6013,1,1,0,0
1,0.7689,1,1,0,1
1,0.70751,3,1,0,1
NaN,-Inf,3,2,0,0
1,1.3809,3,2,0,0
1,0.69488,1,1,1,0
1,0.7832,3,1,1,1
NaN,-Inf,3,2,1,0
NaN,-Inf,1,1,1,0
1,1.127,3,1,1,1
NaN,-Inf,1,1,0,0
1,0.61715,1,1,0,0
1,0.72022,3,2,1,0
NaN,-Inf,3,2,0,0
1,0.64139,1,2,1,0
1,0.76608,1,1,0,1
NaN,-Inf,1,2,0,0
0,0.90289,3,2,0,1
1,0.822,3,1,0,0
NaN,-Inf,3,1,0,0
1,1.1644,1,2,1,1
1,0.78421,3,2,1,0
NaN,-Inf,1,2,0,0
NaN,-Inf,3,2,0,0
1,0.58194,3,1,0,0
1,0.65172,1,1,1,1
1,1.47,1,2,0,1
1,0.6902,1,2,0,0
0,0.63584,3,2,1,1
0,0.62224,3,1,0,1
1,0.63764,1,1,1,0
