RT,Crt,trltp,shrink,iscong,trgtside,crtdir
0.94184,1,1,0.5,1,1,1
-Inf,NaN,1,0.5,0,2,NaN
0.48827,1,1,0.5,0,2,1
0.51609,1,1,0.5,1,2,2
0.5159,1,1,0.5,1,2,2
-Inf,NaN,1,0.5,0,1,NaN
0.51568,1,1,0.5,0,2,1
0.46372,1,1,0.5,0,2,1
0.49729,1,1,0.5,0,1,2
-Inf,NaN,1,0.5,0,1,NaN
-Inf,NaN,0,0.5,0,2,NaN
-Inf,NaN,0,0.5,0,1,NaN
-Inf,NaN,0,0.5,0,1,NaN
0.45934,1,1,0.5,0,2,1
0.61355,1,1,0.5,1,2,2
0.57181,1,1,0.5,1,2,2
-Inf,NaN,1,0.5,0,1,NaN
0.42106,1,1,0.5,1,2,2
0.39545,1,1,0.5,0,1,2
0.47954,1,1,0.5,0,1,2
0.39362,1,1,0.5,0,1,2
-Inf,NaN,0,0.5,0,2,NaN
0.37915,1,1,0.5,1,1,1
0.69081,1,1,0.5,1,1,1
0.47283,1,2,0.5,1,2,2
-Inf,NaN,2,0.5,0,1,NaN
0.68679,1,2,0.5,0,2,1
-Inf,NaN,2,0.5,0,2,NaN
0.40835,1,2,0.5,0,1,2
-Inf,NaN,0,0.5,0,1,NaN
0.62436,1,2,0.5,0,2,1
0.51887,1,2,0.5,0,2,1
0.48632,1,2,0.5,1,1,1
-Inf,NaN,2,0.5,0,2,NaN
0.46823,1,2,0.5,1,1,1
0.43876,1,2,0.5,1,1,1
-Inf,NaN,0,0.5,0,2,NaN
0.43206,1,2,0.5,0,2,1
-Inf,NaN,2,0.5,0,1,NaN
0.74422,1,2,0.5,1,2,2
0.44835,1,2,0.5,1,2,2
0.41226,1,2,0.5,0,1,2
0.49507,1,2,0.5,1,2,2
0.41972,1,2,0.5,1,1,1
-Inf,NaN,0,0.5,0,2,NaN
-Inf,NaN,0,0.5,0,2,NaN
0.41793,1,2,0.5,0,1,2
0.38028,1,2,0.5,0,1,2
0.63628,1,3,0.5,1,2,2
0.55611,1,3,0.5,0,2,1
-Inf,NaN,3,0.5,0,2,NaN
-Inf,NaN,3,0.5,0,2,NaN
-Inf,NaN,3,0.5,0,2,NaN
0.41022,1,3,0.5,0,1,2
0.54173,1,3,0.5,1,1,1
-Inf,NaN,0,0.5,0,1,NaN
-Inf,NaN,0,0.5,0,1,NaN
0.34543,1,3,0.5,0,1,2
0.68485,1,3,0.5,1,2,2
-Inf,NaN,3,0.5,0,1,NaN
0.43542,1,3,0.5,0,1,2
0.46567,1,3,0.5,0,1,2
0.54293,1,3,0.5,0,2,1
0.49115,1,3,0.5,0,2,1
0.4829,1,3,0.5,1,1,1
0.50276,1,3,0.5,1,1,1
0.45732,1,3,0.5,1,1,1
-Inf,NaN,0,0.5,0,2,NaN
0.43338,1,3,0.5,0,2,1
0.57237,1,3,0.5,1,2,2
-Inf,NaN,0,0.5,0,1,NaN
0.46899,1,3,0.5,1,1,1
-Inf,NaN,0,0.5,0,1,NaN
0.44043,1,2,0.5,1,1,1
0.47815,1,2,0.5,0,2,1
-Inf,NaN,2,0.5,0,2,NaN
0.47036,1,2,0.5,0,1,2
-Inf,NaN,0,0.5,0,1,NaN
0.42154,1,2,0.5,1,2,2
0.48197,1,2,0.5,1,1,1
0.57206,1,2,0.5,1,2,2
0.59987,1,2,0.5,1,2,2
0.36157,1,2,0.5,0,1,2
0.40383,1,2,0.5,0,1,2
-Inf,NaN,0,0.5,0,1,NaN
-Inf,NaN,2,0.5,0,1,NaN
0.52992,1,2,0.5,0,2,1
0.4977,1,2,0.5,1,1,1
0.63322,1,2,0.5,0,2,1
0.48172,1,2,0.5,1,2,2
0.51137,1,2,0.5,0,2,1
0.44496,1,2,0.5,0,1,2
-Inf,NaN,0,0.5,0,1,NaN
-Inf,NaN,2,0.5,0,2,NaN
-Inf,NaN,2,0.5,0,1,NaN
0.50382,1,2,0.5,1,1,1
-Inf,NaN,0,0.5,0,2,NaN
0.43616,1,3,0.5,0,1,2
0.43272,1,3,0.5,0,2,1
0.38516,1,3,0.5,0,1,2
0.50247,1,3,0.5,0,2,1
0.41507,1,3,0.5,1,2,2
-Inf,NaN,3,0.5,0,1,NaN
-Inf,NaN,0,0.5,0,1,NaN
0.88878,0,3,0.5,0,1,2
0.50885,1,3,0.5,1,1,1
-Inf,NaN,0,0.5,0,1,NaN
0.6465,1,3,0.5,1,1,1
0.46429,1,3,0.5,0,2,1
-Inf,NaN,0,0.5,0,2,NaN
0.45019,1,3,0.5,0,1,2
0.42223,1,3,0.5,1,2,2
0.64,1,3,0.5,1,1,1
0.40457,1,3,0.5,1,2,2
0.58037,1,3,0.5,1,2,2
0.45015,1,3,0.5,1,1,1
-Inf,NaN,3,0.5,0,1,NaN
-Inf,NaN,3,0.5,0,2,NaN
-Inf,NaN,3,0.5,0,2,NaN
0.46001,1,3,0.5,0,1,2
0.41015,1,1,0.5,0,2,1
0.41195,1,1,0.5,1,2,2
-Inf,NaN,1,0.5,0,1,NaN
0.44502,1,1,0.5,0,2,1
0.38372,1,1,0.5,1,1,1
0.5157,1,1,0.5,1,2,2
0.48181,1,1,0.5,0,2,1
-Inf,NaN,0,0.5,0,2,NaN
-Inf,NaN,0,0.5,0,2,NaN
-Inf,NaN,0,0.5,0,2,NaN
0.63509,1,1,0.5,1,1,1
0.3837,1,1,0.5,0,1,2
0.42959,1,1,0.5,1,2,2
0.52537,1,1,0.5,1,2,2
0.52921,1,1,0.5,1,1,1
0.38744,1,1,0.5,0,1,2
0.58715,1,1,0.5,1,1,1
