RT,Crt,trltp,shrink,iscong,trgtside,crtdir
-Inf,NaN,0,0.5,0,1,NaN
0.66002,1,2,0.5,1,1,1
0.66563,1,2,0.5,0,1,2
-Inf,NaN,2,0.5,0,1,NaN
0.6818,1,2,0.5,0,1,2
-Inf,NaN,0,0.5,0,1,NaN
0.68957,1,2,0.5,1,2,2
0.6854,1,2,0.5,1,1,1
0.55161,1,2,0.5,1,2,2
0.61143,1,2,0.5,1,1,1
0.74953,1,2,0.5,0,2,1
0.52782,1,2,0.5,0,2,1
-Inf,NaN,0,0.5,0,2,NaN
-Inf,NaN,2,0.5,0,1,NaN
0.70175,1,2,0.5,0,2,1
0.54121,1,2,0.5,1,2,2
0.52115,1,2,0.5,0,2,1
0.53349,1,2,0.5,1,1,1
0.54706,1,2,0.5,0,1,2
0.68078,1,2,0.5,0,1,2
-Inf,NaN,0,0.5,0,1,NaN
-Inf,NaN,2,0.5,0,2,NaN
-Inf,NaN,2,0.5,0,2,NaN
0.52332,1,2,0.5,1,2,2
-Inf,NaN,0,0.5,0,1,NaN
0.61484,1,3,0.5,0,1,2
0.59662,1,3,0.5,0,1,2
0.58058,1,3,0.5,0,2,1
0.65069,1,3,0.5,0,2,1
0.71434,1,3,0.5,1,1,1
-Inf,NaN,3,0.5,0,1,NaN
-Inf,NaN,0,0.5,0,2,NaN
0.91626,1,3,0.5,0,1,2
0.55231,1,3,0.5,1,2,2
-Inf,NaN,0,0.5,0,1,NaN
0.55427,1,3,0.5,1,2,2
0.59587,1,3,0.5,0,1,2
-Inf,NaN,0,0.5,0,2,NaN
0.76572,1,3,0.5,0,2,1
0.66642,1,3,0.5,1,1,1
0.63953,1,3,0.5,1,1,1
0.71835,1,3,0.5,1,1,1
0.63231,1,3,0.5,1,2,2
0.55825,1,3,0.5,1,2,2
-Inf,NaN,3,0.5,0,2,NaN
-Inf,NaN,3,0.5,0,2,NaN
-Inf,NaN,3,0.5,0,1,NaN
0.63988,1,3,0.5,0,2,1
1.3894,1,1,0.5,0,1,2
0.75939,1,1,0.5,1,1,1
-Inf,NaN,1,0.5,0,1,NaN
0.46487,1,1,0.5,0,1,2
0.50685,1,1,0.5,1,1,1
0.47157,1,1,0.5,1,2,2
0.67697,1,1,0.5,0,2,1
-Inf,NaN,0,0.5,0,2,NaN
-Inf,NaN,0,0.5,0,1,NaN
-Inf,NaN,0,0.5,0,2,NaN
0.53532,1,1,0.5,1,2,2
0.68343,1,1,0.5,0,2,1
0.52113,1,1,0.5,1,2,2
0.6012,1,1,0.5,1,1,1
0.62075,1,1,0.5,1,2,2
0.69678,1,1,0.5,0,2,1
0.5025,1,1,0.5,1,1,1
-Inf,NaN,0,0.5,0,2,NaN
0.86873,1,1,0.5,0,2,1
-Inf,NaN,1,0.5,0,2,NaN
-Inf,NaN,1,0.5,0,1,NaN
0.66067,1,1,0.5,0,1,2
0.44822,1,1,0.5,0,1,2
-Inf,NaN,1,0.5,0,2,NaN
0.50823,1,1,0.5,1,2,2
-Inf,NaN,1,0.5,0,2,NaN
0.62035,1,1,0.5,0,2,1
0.62389,1,1,0.5,1,1,1
0.64046,1,1,0.5,1,1,1
-Inf,NaN,1,0.5,0,2,NaN
0.62415,1,1,0.5,0,1,2
0.5717,1,1,0.5,0,1,2
0.83793,1,1,0.5,0,2,1
-Inf,NaN,1,0.5,0,1,NaN
-Inf,NaN,0,0.5,0,1,NaN
-Inf,NaN,0,0.5,0,2,NaN
-Inf,NaN,0,0.5,0,1,NaN
0.53134,1,1,0.5,0,1,2
0.51415,1,1,0.5,1,2,2
0.48741,1,1,0.5,1,1,1
-Inf,NaN,1,0.5,0,2,NaN
0.49754,1,1,0.5,1,2,2
0.7257,1,1,0.5,0,2,1
0.49967,1,1,0.5,0,1,2
0.65358,1,1,0.5,0,2,1
-Inf,NaN,0,0.5,0,1,NaN
0.65508,1,1,0.5,1,2,2
0.57534,1,1,0.5,1,1,1
0.60573,1,2,0.5,1,2,2
-Inf,NaN,2,0.5,0,1,NaN
0.58743,1,2,0.5,0,2,1
-Inf,NaN,2,0.5,0,1,NaN
0.50854,1,2,0.5,0,1,2
-Inf,NaN,0,0.5,0,2,NaN
0.53292,1,2,0.5,0,2,1
0.61844,1,2,0.5,0,2,1
0.57846,1,2,0.5,1,1,1
-Inf,NaN,2,0.5,0,1,NaN
0.60135,1,2,0.5,1,1,1
0.47424,1,2,0.5,1,2,2
-Inf,NaN,0,0.5,0,1,NaN
0.56436,1,2,0.5,0,2,1
-Inf,NaN,2,0.5,0,1,NaN
0.54821,1,2,0.5,1,2,2
0.54864,1,2,0.5,1,2,2
0.46412,1,2,0.5,0,2,1
0.59269,1,2,0.5,1,1,1
0.45653,1,2,0.5,1,2,2
-Inf,NaN,0,0.5,0,1,NaN
-Inf,NaN,0,0.5,0,1,NaN
0.46707,1,2,0.5,0,1,2
0.56799,1,2,0.5,0,1,2
0.90363,1,3,0.5,1,1,1
1.0237,1,3,0.5,0,2,1
-Inf,NaN,3,0.5,0,2,NaN
-Inf,NaN,3,0.5,0,2,NaN
-Inf,NaN,3,0.5,0,1,NaN
0.46161,1,3,0.5,0,1,2
0.52997,1,3,0.5,1,1,1
-Inf,NaN,0,0.5,0,2,NaN
-Inf,NaN,0,0.5,0,2,NaN
0.54198,1,3,0.5,0,2,1
0.59149,1,3,0.5,1,1,1
-Inf,NaN,3,0.5,0,2,NaN
0.62471,1,3,0.5,0,1,2
0.45369,1,3,0.5,0,1,2
0.44352,1,3,0.5,0,1,2
0.51165,1,3,0.5,0,2,1
0.54356,1,3,0.5,1,1,1
0.45902,1,3,0.5,1,2,2
0.52519,1,3,0.5,1,2,2
-Inf,NaN,0,0.5,0,2,NaN
0.56534,1,3,0.5,0,1,2
0.57692,1,3,0.5,1,2,2
-Inf,NaN,0,0.5,0,2,NaN
0.51285,1,3,0.5,1,1,1
