Crt,RT,ld,dr,islongdelay,ischange
NaN,-Inf,1,2,0,0
NaN,-Inf,1,1,0,0
NaN,-Inf,3,2,1,0
1,1.424,3,1,1,0
1,0.92196,3,2,1,0
1,0.98388,1,2,0,1
-1,-Inf,1,1,1,1
NaN,-Inf,3,1,0,0
0,1.6237,1,1,0,0
1,1.4516,3,2,1,1
1,1.1496,1,2,1,0
NaN,-Inf,1,2,1,0
1,1.3015,3,1,0,0
NaN,-Inf,1,2,0,0
NaN,-Inf,3,2,0,0
0,1.0417,3,1,0,1
1,0.96147,1,1,1,1
1,0.94946,1,1,0,0
1,0.98939,1,2,0,1
1,1.0711,3,2,0,1
NaN,-Inf,3,1,0,0
1,1.2812,3,1,0,0
1,0.85119,1,1,1,0
0,1.5871,3,2,1,1
NaN,-Inf,3,2,1,0
NaN,-Inf,1,1,1,0
0,1.0511,3,1,1,1
NaN,-Inf,1,1,0,0
1,1.813,1,1,0,0
1,1.0448,3,1,1,0
NaN,-Inf,3,2,0,0
0,1.5645,1,2,1,0
1,0.97871,1,2,0,1
NaN,-Inf,1,1,0,0
-1,-Inf,3,1,0,1
1,1.4107,3,2,0,0
NaN,-Inf,3,2,0,0
1,1.0005,1,2,1,1
1,1.7884,3,2,1,0
NaN,-Inf,1,1,0,0
NaN,-Inf,3,2,0,0
1,0.99427,3,2,0,0
1,0.92835,1,1,1,1
1,1.6742,1,2,0,1
1,0.97424,1,1,0,0
-1,-Inf,3,2,1,1
1,0.98588,3,1,0,1
0,1.0414,1,1,1,0
NaN,-Inf,3,1,0,0
0,1.2339,3,1,0,1
1,0.81987,3,2,0,0
1,1.4259,1,1,0,0
1,1.0719,1,2,1,0
NaN,-Inf,1,2,0,0
1,0.84782,1,2,1,1
0,1.0112,3,1,1,1
1,1.1059,3,1,1,0
0,1.1099,1,2,0,1
1,0.92345,1,1,1,1
NaN,-Inf,3,2,0,0
0,1.3094,3,1,1,0
1,0.92541,1,1,0,1
0,1.1714,3,1,0,1
NaN,-Inf,1,1,0,0
-1,-Inf,1,2,0,0
0,1.8439,3,1,1,0
0,1.3678,3,2,1,1
0,1.089,3,2,0,1
NaN,-Inf,1,1,0,0
1,1.2409,3,2,1,1
NaN,-Inf,3,1,1,0
NaN,-Inf,1,1,0,0
1,1.145,1,2,1,0
1,0.97283,1,2,1,0
NaN,-Inf,3,2,0,0
NaN,-Inf,1,2,1,0
1,1.0244,1,1,1,1
1,1.3207,1,2,0,1
1,1.4087,3,2,0,0
NaN,-Inf,3,1,0,0
-1,-Inf,1,2,0,0
-1,-Inf,3,1,0,0
NaN,-Inf,1,1,0,0
NaN,-Inf,3,2,0,0
1,1.0444,1,1,0,0
1,0.87653,1,2,0,1
1,1.2245,1,2,1,0
1,1.2883,1,2,1,1
NaN,-Inf,1,1,0,0
-1,-Inf,3,1,0,0
NaN,-Inf,3,2,0,0
NaN,-Inf,1,1,1,0
1,0.99598,3,1,1,1
NaN,-Inf,3,2,1,0
0,1.204,3,2,1,0
1,1.2497,3,1,0,1
